tc,Dissipation
0,0.0004715126
0.02,0.0004715126
0.04,0.0004707731
0.06,0.0004701748
0.08,0.000470108
0.1,0.0004706797
0.12,0.0004705705
0.14,0.0004689823
0.16,0.0004664666
0.18,0.0004638467
0.2,0.0004621411
0.22,0.0004606154
0.24,0.0004592379
0.26,0.0004597107
0.28,0.0004621394
0.3,0.0004654705
0.32,0.0004678205
0.34,0.0004664253
0.36,0.0004668126
0.38,0.0004706576
0.4,0.0004682125
0.42,0.0004566446
0.44,0.0004614551
0.46,0.0004682115
0.48,0.0004578427
0.5,0.00046662
0.52,0.0004745601
0.54,0.0004690447
0.56,0.0004678084
0.58,0.000466548
0.6,0.0004662016
0.62,0.0004655907
0.64,0.0004666993
0.66,0.0004697131
0.68,0.0004760691
0.7,0.000481675
0.72,0.000483177
0.74,0.0004837153
0.76,0.0004824128
0.78,0.0004796382
0.8,0.0004765057
0.82,0.0004747859
0.84,0.000475828
0.86,0.0004795446
0.88,0.0004846706
0.9,0.000490035
0.92,0.0004951284
0.94,0.00049938
0.96,0.0005017501
0.98,0.0005017073
1,0.0005002346
1.02,0.0004992872
1.04,0.0005003028
1.06,0.0005034422
1.08,0.0005080158
1.1,0.0005131636
1.12,0.0005179204
1.14,0.0005210685
1.16,0.0005217987
1.18,0.0005208723
1.2,0.0005205278
1.22,0.0005226979
1.24,0.0005275473
1.26,0.000533879
1.28,0.0005403631
1.3,0.0005460617
1.32,0.0005503878
1.34,0.0005532171
1.36,0.0005550101
1.38,0.0005565786
1.4,0.0005586363
1.42,0.0005614401
1.44,0.0005647553
1.46,0.0005682672
1.48,0.0005720658
1.5,0.0005765721
1.52,0.0005819722
1.54,0.000587897
1.56,0.000593677
1.58,0.0005988154
1.6,0.0006032569
1.62,0.0006073059
1.64,0.0006113571
1.66,0.0006157681
1.68,0.0006208452
1.7,0.0006265666
1.72,0.0006322429
1.74,0.0006368525
1.76,0.0006399677
1.78,0.0006422839
1.8,0.0006452797
1.82,0.0006503952
1.84,0.0006582024
1.86,0.0006679949
1.88,0.0006781273
1.9,0.0006868043
1.92,0.0006927238
1.94,0.0006955896
1.96,0.0006965872
1.98,0.0006981485
2,0.0007026319
2.02,0.0007109148
2.04,0.0007220385
2.06,0.0007338246
2.08,0.0007438341
2.1,0.0007503697
2.12,0.0007532704
2.14,0.0007541302
2.16,0.0007557438
2.18,0.0007608179
2.2,0.0007704525
2.22,0.0007835105
2.24,0.0007975112
2.26,0.0008101261
2.28,0.0008199182
2.3,0.0008263088
2.32,0.0008296342
2.34,0.0008313856
2.36,0.0008339279
2.38,0.0008394214
2.4,0.0008486635
2.42,0.0008608947
2.44,0.0008746655
2.46,0.0008885693
2.48,0.00090107
2.5,0.000910499
2.52,0.0009162841
2.54,0.0009200911
2.56,0.0009249289
2.58,0.0009329324
2.6,0.0009442903
2.62,0.0009579695
2.64,0.0009726324
2.66,0.0009866592
2.68,0.0009981041
2.7,0.0010056961
2.72,0.0010103238
2.74,0.0010151089
2.76,0.001023344
2.78,0.0010361851
2.8,0.0010524124
2.82,0.00106988
2.84,0.0010864742
2.86,0.0011001671
2.88,0.0011096627
2.9,0.0011157953
2.92,0.0011217737
2.94,0.0011312683
2.96,0.0011459088
2.98,0.0011644134
3,0.0011837767
3.02,0.0012010813
3.04,0.0012145544
3.06,0.0012239516
3.08,0.0012309501
3.1,0.0012390681
3.12,0.0012520477
3.14,0.0012713088
3.16,0.0012947905
3.18,0.0013183809
3.2,0.001338521
3.22,0.0013538426
3.24,0.0013652153
3.26,0.0013750139
3.28,0.0013862875
3.3,0.0014017115
3.32,0.0014221745
3.34,0.0014459834
3.36,0.001470021
3.38,0.0014922049
3.4,0.0015126648
3.42,0.0015325095
3.44,0.0015522281
3.46,0.0015717813
3.48,0.0015916113
3.5,0.0016127152
3.52,0.0016358234
3.54,0.0016610403
