tc,Dissipation Rate
0,0.0004683186
0.02,0.0004683186
0.04,0.0004673869
0.06,0.0004665299
0.08,0.0004665788
0.1,0.0004671949
0.12,0.0004670662
0.14,0.0004654596
0.16,0.0004629532
0.18,0.0004605404
0.2,0.0004585303
0.22,0.0004567608
0.24,0.0004556045
0.26,0.0004560412
0.28,0.0004584426
0.3,0.0004617415
0.32,0.0004643168
0.34,0.0004654057
0.36,0.0004651929
0.38,0.000463932
0.4,0.0004617143
0.42,0.0004591089
0.44,0.0004573594
0.46,0.0004575523
0.48,0.0004596306
0.5,0.0004623336
0.52,0.0004641984
0.54,0.0004646221
0.56,0.0004638951
0.58,0.0004625037
0.6,0.0004609708
0.62,0.0004603335
0.64,0.0004618952
0.66,0.0004659373
0.68,0.0004711027
0.7,0.0004754721
0.72,0.000477954
0.74,0.0004784052
0.76,0.0004769865
0.78,0.0004740989
0.8,0.0004708586
0.82,0.0004690247
0.84,0.0004699508
0.86,0.0004735495
0.88,0.0004785528
0.9,0.0004837891
0.92,0.0004887516
0.94,0.0004928688
0.96,0.0004950985
0.98,0.0004949088
1,0.000493282
1.02,0.0004921755
1.04,0.0004930301
1.06,0.0004960078
1.08,0.0005004194
1.1,0.0005054029
1.12,0.0005099935
1.14,0.0005129691
1.16,0.000513518
1.18,0.0005124032
1.2,0.0005118663
1.22,0.0005138456
1.24,0.000518504
1.26,0.0005246394
1.28,0.0005309202
1.3,0.0005364065
1.32,0.0005405112
1.34,0.0005431119
1.36,0.0005446724
1.38,0.000546007
1.4,0.0005478294
1.42,0.0005503956
1.44,0.000553468
1.46,0.0005567323
1.48,0.0005602753
1.5,0.0005645174
1.52,0.0005696506
1.54,0.0005753059
1.56,0.0005808124
1.58,0.0005856708
1.6,0.0005898231
1.62,0.0005935687
1.64,0.0005973136
1.66,0.0006014105
1.68,0.0006061634
1.7,0.0006115655
1.72,0.000616922
1.74,0.0006212053
1.76,0.0006239823
1.78,0.0006259472
1.8,0.0006285815
1.82,0.0006333299
1.84,0.0006407693
1.86,0.0006501941
1.88,0.0006599552
1.9,0.0006682514
1.92,0.0006737746
1.94,0.0006762249
1.96,0.0006767897
1.98,0.00067791
2,0.0006819535
2.02,0.0006898009
2.04,0.00070049
2.06,0.000711834
2.08,0.000721385
2.1,0.0007274398
2.12,0.000729839
2.14,0.000730185
2.16,0.0007312825
2.18,0.0007358433
2.2,0.0007449642
2.22,0.0007574965
2.24,0.000770949
2.26,0.0007829913
2.28,0.0007921925
2.3,0.0007978655
2.32,0.0008006978
2.34,0.00080195
2.36,0.0008037508
2.38,0.000808602
2.4,0.0008171835
2.42,0.0008287349
2.44,0.0008418101
2.46,0.000855005
2.48,0.0008667853
2.5,0.0008754774
2.52,0.0008804989
2.54,0.0008835143
2.56,0.0008875369
2.58,0.0008947034
2.6,0.0009052014
2.62,0.0009180007
2.64,0.0009317675
2.66,0.0009448809
2.68,0.0009553853
2.7,0.0009619972
2.72,0.0009655986
2.74,0.0009693172
2.76,0.0009764593
2.78,0.0009881871
2.8,0.0010032741
2.82,0.0010195654
2.84,0.0010349394
2.86,0.0010473575
2.88,0.0010555142
2.9,0.0010602434
2.92,0.0010647631
2.94,0.0010727541
2.96,0.0010858509
2.98,0.001102765
3,0.0011204736
3.02,0.0011360412
3.04,0.0011476834
3.06,0.0011551506
3.08,0.001160121
3.1,0.0011661244
3.12,0.0011769127
3.14,0.0011939
3.16,0.0012150068
3.18,0.0012360958
3.2,0.0012535891
3.22,0.0012661061
3.24,0.0012745216
3.26,0.0012812219
3.28,0.0012892548
3.3,0.0013012975
3.32,0.0013182197
3.34,0.0013382952
3.36,0.001358384
3.38,0.001376396
