tc,Enstrophy
0,0.374453125
0.02,0.3744407989
0.04,0.3744599854
0.06,0.3745109557
0.08,0.3745928304
0.1,0.3747063941
0.12,0.3748512795
0.14,0.3750274206
0.16,0.3752453727
0.18,0.3754736736
0.2,0.3757442803
0.22,0.3760470242
0.24,0.3763823387
0.26,0.3767501459
0.28,0.3771504642
0.3,0.3775828463
0.32,0.378047002
0.34,0.3785497094
0.36,0.3790700649
0.38,0.3796299278
0.4,0.380224193
0.42,0.3808502346
0.44,0.3815125203
0.46,0.3822079152
0.48,0.3829372293
0.5,0.3837006799
0.52,0.3844977879
0.54,0.3853288701
0.56,0.3861947284
0.58,0.3870949196
0.6,0.3880309743
0.62,0.3890031088
0.64,0.3900128376
0.66,0.3910560369
0.68,0.3921369092
0.7,0.3932541353
0.72,0.394407938
0.74,0.3955987677
0.76,0.3968273445
0.78,0.3980942348
0.8,0.3994094946
0.82,0.4007458356
0.84,0.4021309973
0.86,0.4035556659
0.88,0.4050197436
0.9,0.4065233572
0.92,0.4080716803
0.94,0.40965145
0.96,0.4112777012
0.98,0.4129465933
1,0.4146586552
1.02,0.4164140139
1.04,0.4182125365
1.06,0.4200541017
1.08,0.421939212
1.1,0.4238680145
1.12,0.4258413001
1.14,0.4278609346
1.16,0.429927747
1.18,0.4320421184
1.2,0.4342040637
1.22,0.4364133132
1.24,0.4386696972
1.26,0.4409748138
1.28,0.4433254057
1.3,0.4457267119
1.32,0.4481785798
1.34,0.4506822529
1.36,0.4532377071
1.38,0.4558455351
1.4,0.4585057183
1.42,0.4612182538
1.44,0.4639835735
1.46,0.4668021253
1.48,0.4696751972
1.5,0.4726085091
1.52,0.475589124
1.54,0.4786316418
1.56,0.4817316188
1.58,0.4848893059
1.6,0.4881038537
1.62,0.4913766351
1.64,0.4947083558
1.66,0.4981003498
1.68,0.50155526
1.7,0.5050698049
1.72,0.5086484914
1.74,0.5122900169
1.76,0.5159945286
1.78,0.5197625128
1.8,0.5235952201
1.82,0.5274925267
1.84,0.5314566153
1.86,0.5354925245
1.88,0.539586963
1.9,0.543754542
1.92,0.5479906002
1.94,0.5522963698
1.96,0.5566723652
1.98,0.5611192994
2,0.5656379733
2.02,0.5702305018
2.04,0.5748927631
2.06,0.5796306847
2.08,0.5844435779
2.1,0.5893320215
2.12,0.5942968279
2.14,0.5993401871
2.16,0.6044576979
2.18,0.6096546029
2.2,0.6149309461
2.22,0.6202852563
2.24,0.6257211984
2.26,0.6312389064
2.28,0.6368390335
2.3,0.6425219661
2.32,0.6482880583
2.34,0.6541398774
2.36,0.6600723741
2.38,0.6660948349
2.4,0.6722000997
2.42,0.6783955091
2.44,0.6846795391
2.46,0.6910525953
2.48,0.6975149495
2.5,0.7040673695
2.52,0.7107108223
2.54,0.7174465291
2.56,0.7242756281
2.58,0.7311991289
2.6,0.7382178611
2.62,0.7453325398
2.64,0.7525440652
2.66,0.7598533785
2.68,0.7672613708
2.7,0.774768996
2.72,0.782377145
2.74,0.7900870477
2.76,0.7978998687
2.78,0.8058168406
2.8,0.8138399658
2.82,0.8219705318
2.84,0.8302095252
2.86,0.8385583573
2.88,0.8470182636
2.9,0.8555911707
2.92,0.8642773299
2.94,0.8730805149
2.96,0.8820020813
2.98,0.8910457007
3,0.9002086582
3.02,0.9094977657
3.04,0.9189167313
3.06,0.9284599357
3.08,0.9381387227
3.1,0.9479538479
3.12,0.9579088555
3.14,0.9680062842
3.16,0.9782501642
3.18,0.9886435663
3.2,0.9991959741
3.22,1.0098946067
3.24,1.0207621379
3.26,1.031799015
3.28,1.04301159
3.3,1.0544062624
3.32,1.0659888146
3.34,1.0777650402
3.36,1.0897411192
3.38,1.1019248089
3.4,1.1143222468
3.42,1.1269456345
3.44,1.1398048172
3.46,1.1529105363
3.48,1.1662741684
3.5,1.1799054291
3.52,1.1938160141
3.54,1.2080177266
3.56,1.2225207688
3.58,1.2373403799
3.6,1.2524899339
3.62,1.2679846848
3.64,1.2838406163
3.66,1.300074222
3.68,1.316702266
3.7,1.3337410082
3.72,1.3512057382
3.74,1.3691109748
3.76,1.3874710403
3.78,1.4063007593
3.8,1.4256160042
3.82,1.4454334064
3.84,1.4657694142
3.86,1.4866389946
3.88,1.5080545247
3.9,1.5300253281
3.92,1.5525580628
3.94,1.5756594241
3.96,1.5993295557
3.98,1.6235788166
4,1.6484121554
4.02,1.6738357743
4.04,1.6998538162
4.06,1.7264765696
4.08,1.7536683214
4.1,1.7814496209
4.12,1.8097969151
4.14,1.838695525
4.16,1.8681306534
4.18,1.8980881459
4.2,1.9286092475
4.22,1.9594887308
4.24,1.9908881188
4.26,2.0227271825
4.28,2.0550034227
4.3,2.0877262234
4.32,2.12089175
4.34,2.1544520443
4.36,2.1883105695
4.38,2.2223588945
4.4,2.2565293687
4.42,2.2908206751
4.44,2.3252771878
4.46,2.359943015
4.48,2.3948269307
4.5,2.4298982197
4.52,2.4651064811
4.54,2.5004041554
4.56,2.5357543174
4.58,2.5711191515
4.6,2.6064559075
4.62,2.6417340983
