x/D,u/U
0.5,-1.33E-005
0.515,-0.0016812
0.53,-0.0053976
0.545,-0.0098728
0.56,-0.014355
0.575,-0.018575
0.59,-0.022487
0.605,-0.026195
0.62,-0.029648
0.635,-0.032772
0.65,-0.035716
0.665,-0.038657
0.68,-0.041691
0.695,-0.044641
0.71,-0.047522
0.725,-0.050468
0.74,-0.053592
0.755,-0.056883
0.77,-0.060213
0.785,-0.063695
0.8,-0.067389
0.815,-0.071101
0.83,-0.074921
0.845,-0.078997
0.86,-0.083421
0.875,-0.088104
0.89,-0.093122
0.905,-0.098408
0.92,-0.10405
0.935,-0.11007
0.95,-0.11642
0.965,-0.12291
0.98,-0.12937
0.995,-0.13599
1.01,-0.14266
1.025,-0.14948
1.04,-0.15621
1.055,-0.16287
1.07,-0.16962
1.085,-0.17607
1.1,-0.18307
1.115,-0.19024
1.13,-0.19691
1.145,-0.20351
1.16,-0.21006
1.175,-0.21674
1.19,-0.22303
1.205,-0.22894
1.22,-0.23431
1.235,-0.23913
1.25,-0.24395
1.265,-0.24839
1.28,-0.25276
1.295,-0.25626
1.31,-0.25864
1.325,-0.26084
1.34,-0.26208
1.355,-0.26304
1.37,-0.26334
1.385,-0.26291
1.4,-0.26174
1.415,-0.26021
1.43,-0.25772
1.445,-0.25418
1.46,-0.25042
1.475,-0.24602
1.49,-0.2408
1.505,-0.23527
1.52,-0.22941
1.535,-0.22252
1.55,-0.21539
1.565,-0.20758
1.58,-0.19941
1.595,-0.1903
1.61,-0.18057
1.625,-0.17068
1.64,-0.15996
1.655,-0.14912
1.67,-0.13777
1.685,-0.12609
1.7,-0.11411
1.715,-0.10199
1.73,-0.0897
1.745,-0.076843
1.76,-0.06378
1.775,-0.050503
1.79,-0.037248
1.805,-0.023893
1.82,-0.010602
1.835,0.0029823
1.85,0.016601
1.865,0.030343
1.88,0.043911
1.895,0.057142
1.91,0.070318
1.925,0.083457
1.94,0.096543
1.955,0.10964
1.97,0.12265
1.985,0.13536
2,0.148
2.015,0.16043
2.03,0.17278
2.045,0.1848
2.06,0.1969
2.075,0.20881
2.09,0.22034
2.105,0.2318
2.12,0.24294
2.135,0.25374
2.15,0.26422
2.165,0.2744
2.18,0.28472
2.195,0.29468
2.21,0.3043
2.225,0.31369
2.24,0.32308
2.255,0.33229
2.27,0.34132
2.285,0.35007
2.3,0.35858
2.315,0.36697
2.33,0.37505
2.345,0.38327
2.36,0.39133
2.375,0.39919
2.39,0.40686
2.405,0.41427
2.42,0.42148
2.435,0.4283
2.45,0.43495
2.465,0.44153
2.48,0.44791
2.495,0.45417
2.51,0.4603
2.525,0.46636
2.54,0.4721
2.555,0.47778
2.57,0.48345
2.585,0.48933
2.6,0.49518
2.615,0.5008
2.63,0.50627
2.645,0.51172
2.66,0.5171
2.675,0.5224
2.69,0.5275
2.705,0.53237
2.72,0.53711
2.735,0.54157
2.75,0.54589
2.765,0.55018
2.78,0.55436
2.795,0.55852
2.81,0.5625
2.825,0.56649
2.84,0.57042
2.855,0.57418
2.87,0.57775
2.885,0.58117
