x/D,u/U
0.5,6.73330000E-010
0.515,7.73240000E-004
0.53,3.78410000E-003
0.545,7.56860000E-003
0.56,1.13000000E-002
0.575,1.45690000E-002
0.59,1.73930000E-002
0.605,1.98290000E-002
0.62,2.19670000E-002
0.635,2.39850000E-002
0.65,2.59040000E-002
0.665,2.78570000E-002
0.68,2.98590000E-002
0.695,3.17990000E-002
0.71,3.36350000E-002
0.725,3.53790000E-002
0.74,3.72160000E-002
0.755,3.90710000E-002
0.77,4.10230000E-002
0.785,4.31110000E-002
0.8,4.53030000E-002
0.815,4.75100000E-002
0.83,4.97010000E-002
0.845,5.18330000E-002
0.86,5.40590000E-002
0.875,5.64280000E-002
0.89,5.91490000E-002
0.905,6.21200000E-002
0.92,6.50500000E-002
0.935,6.78720000E-002
0.95,7.09850000E-002
0.965,7.38550000E-002
0.98,7.68460000E-002
0.995,7.96220000E-002
1.01,8.17710000E-002
1.025,8.37320000E-002
1.04,8.56110000E-002
1.055,8.73550000E-002
1.07,8.93390000E-002
1.085,9.14760000E-002
1.1,9.40310000E-002
1.115,9.61900000E-002
1.13,9.82670000E-002
1.145,9.95790000E-002
1.16,1.00730000E-001
1.175,1.01900000E-001
1.19,1.03100000E-001
1.205,1.03870000E-001
1.22,1.04920000E-001
1.235,1.05950000E-001
1.25,1.06820000E-001
1.265,1.07380000E-001
1.28,1.08030000E-001
1.295,1.08400000E-001
1.31,1.08730000E-001
1.325,1.08770000E-001
1.34,1.08750000E-001
1.355,1.08880000E-001
1.37,1.08800000E-001
1.385,1.09110000E-001
1.4,1.09540000E-001
1.415,1.10000000E-001
1.43,1.10150000E-001
1.445,1.10500000E-001
1.46,1.10680000E-001
1.475,1.10870000E-001
1.49,1.10830000E-001
1.505,1.10700000E-001
1.52,1.10500000E-001
1.535,1.10560000E-001
1.55,1.10810000E-001
1.565,1.11430000E-001
1.58,1.12150000E-001
1.595,1.12990000E-001
1.61,1.13590000E-001
1.625,1.14040000E-001
1.64,1.14650000E-001
1.655,1.15380000E-001
1.67,1.16140000E-001
1.685,1.16620000E-001
1.7,1.17230000E-001
1.715,1.17810000E-001
1.73,1.17660000E-001
1.745,1.17420000E-001
1.76,1.17070000E-001
1.775,1.16960000E-001
1.79,1.16500000E-001
1.805,1.16130000E-001
1.82,1.15190000E-001
1.835,1.14230000E-001
1.85,1.13500000E-001
1.865,1.12550000E-001
1.88,1.11770000E-001
1.895,1.11230000E-001
1.91,1.10130000E-001
1.925,1.09180000E-001
1.94,1.08280000E-001
1.955,1.07200000E-001
1.97,1.05780000E-001
1.985,1.04250000E-001
2,1.02530000E-001
2.015,1.00850000E-001
2.03,9.90040000E-002
2.045,9.72480000E-002
2.06,9.55250000E-002
2.075,9.41250000E-002
2.09,9.26310000E-002
2.105,9.11910000E-002
2.12,8.99820000E-002
2.135,8.88740000E-002
2.15,8.77490000E-002
2.165,8.66580000E-002
2.18,8.56080000E-002
2.195,8.41740000E-002
2.21,8.29950000E-002
2.225,8.18190000E-002
2.24,8.03250000E-002
2.255,7.90090000E-002
2.27,7.79100000E-002
2.285,7.67070000E-002
2.3,7.54700000E-002
2.315,7.45220000E-002
2.33,7.31430000E-002
2.345,7.19020000E-002
2.36,7.07000000E-002
2.375,6.95910000E-002
2.39,6.85170000E-002
2.405,6.72780000E-002
2.42,6.62480000E-002
2.435,6.51410000E-002
2.45,6.40940000E-002
2.465,6.30880000E-002
2.48,6.22700000E-002
2.495,6.15970000E-002
2.51,6.07180000E-002
2.525,5.97460000E-002
2.54,5.89570000E-002
2.555,5.84030000E-002
2.57,5.78990000E-002
2.585,5.72970000E-002
2.6,5.66690000E-002
2.615,5.62130000E-002
2.63,5.58240000E-002
2.645,5.54670000E-002
2.66,5.50430000E-002
2.675,5.44670000E-002
2.69,5.39920000E-002
2.705,5.33860000E-002
2.72,5.29160000E-002
2.735,5.25360000E-002
2.75,5.22210000E-002
2.765,5.18860000E-002
2.78,5.16930000E-002
2.795,5.15800000E-002
2.81,5.12430000E-002
2.825,5.08950000E-002
2.84,5.04640000E-002
2.855,5.00020000E-002
2.87,4.95270000E-002
2.885,4.89950000E-002
2.9,4.85150000E-002
2.915,4.81020000E-002
2.93,4.74900000E-002
2.945,4.70400000E-002
2.96,4.67240000E-002
2.975,4.63410000E-002
2.99,4.60270000E-002
3.005,4.58160000E-002
3.02,4.55690000E-002
3.035,4.54210000E-002
3.05,4.51880000E-002
3.065,4.49120000E-002
3.08,4.47880000E-002
3.095,4.45310000E-002
3.11,4.42430000E-002
3.125,4.40150000E-002
3.14,4.40100000E-002
3.155,4.41680000E-002
3.17,4.42040000E-002
3.185,4.40900000E-002
3.2,4.40040000E-002
3.215,4.40640000E-002
3.23,4.41030000E-002
3.245,4.40660000E-002
3.26,4.40610000E-002
3.275,4.39330000E-002
3.29,4.38040000E-002
3.305,4.38030000E-002
3.32,4.36500000E-002
3.335,4.36670000E-002
3.35,4.36380000E-002
3.365,4.35590000E-002
3.38,4.35700000E-002
3.395,4.35460000E-002
3.41,4.35550000E-002
3.425,4.35340000E-002
3.44,4.34490000E-002
3.455,4.34410000E-002
3.47,4.34540000E-002
3.485,4.32650000E-002
3.5,4.31880000E-002
3.515,4.29590000E-002
3.53,4.26610000E-002
3.545,4.24010000E-002
3.56,4.21950000E-002
3.575,4.21010000E-002
3.59,4.20230000E-002
3.605,4.20330000E-002
3.62,4.22250000E-002
3.635,4.23420000E-002
3.65,4.25150000E-002
3.665,4.26740000E-002
3.68,4.28250000E-002
3.695,4.29720000E-002
3.71,4.31370000E-002
3.725,4.31990000E-002
3.74,4.33520000E-002
3.755,4.33950000E-002
3.77,4.35360000E-002
3.785,4.36110000E-002
3.8,4.36550000E-002
3.815,4.36840000E-002
3.83,4.36170000E-002
3.845,4.35090000E-002
3.86,4.34060000E-002
3.875,4.34590000E-002
3.89,4.36350000E-002
3.905,4.36860000E-002
3.92,4.36410000E-002
3.935,4.38120000E-002
3.95,4.39530000E-002
3.965,4.40590000E-002
3.98,4.40460000E-002
3.995,4.41160000E-002
4.01,4.41410000E-002
4.025,4.41400000E-002
4.04,4.40960000E-002
4.055,4.40740000E-002
4.07,4.39850000E-002
4.085,4.37710000E-002
4.1,4.35670000E-002
4.115,4.34110000E-002
4.13,4.32580000E-002
4.145,4.30690000E-002
4.16,4.29590000E-002
4.175,4.29140000E-002
4.19,4.29780000E-002
4.205,4.29920000E-002
4.22,4.30770000E-002
4.235,4.31760000E-002
4.25,4.32410000E-002
4.265,4.32590000E-002
4.28,4.32870000E-002
4.295,4.33430000E-002
4.31,4.34440000E-002
4.325,4.34370000E-002
4.34,4.33950000E-002
4.355,4.34320000E-002
4.37,4.34200000E-002
4.385,4.33510000E-002
4.4,4.32270000E-002
4.415,4.31860000E-002
4.43,4.30000000E-002
4.445,4.29500000E-002
4.46,4.28430000E-002
4.475,4.27220000E-002
4.49,4.26390000E-002
4.505,4.26330000E-002
4.52,4.26170000E-002
4.535,4.26050000E-002
4.55,4.26380000E-002
4.565,4.26500000E-002
4.58,4.25620000E-002
4.595,4.25830000E-002
4.61,4.26170000E-002
4.625,4.27580000E-002
4.64,4.28420000E-002
4.655,4.29650000E-002
4.67,4.30480000E-002
4.685,4.30240000E-002
4.7,4.31790000E-002
4.715,4.31970000E-002
4.73,4.31800000E-002
4.745,4.31460000E-002
4.76,4.31000000E-002
4.775,4.30860000E-002
4.79,4.29940000E-002
4.805,4.28710000E-002
4.82,4.27040000E-002
4.835,4.25570000E-002
4.85,4.24210000E-002
4.865,4.23470000E-002
4.88,4.22800000E-002
