x/D,u/U
0.5,4.87E-007
0.515,-8.43E-004
0.53,-2.80E-003
0.545,-5.23E-003
0.56,-7.77E-003
0.575,-1.03E-002
0.59,-1.26E-002
0.605,-1.48E-002
0.62,-1.68E-002
0.635,-1.87E-002
0.65,-2.05E-002
0.665,-2.21E-002
0.68,-2.37E-002
0.695,-2.53E-002
0.71,-2.69E-002
0.725,-2.85E-002
0.74,-3.01E-002
0.755,-3.17E-002
0.77,-3.34E-002
0.785,-3.52E-002
0.8,-3.70E-002
0.815,-3.90E-002
0.83,-4.11E-002
0.845,-4.33E-002
0.86,-4.57E-002
0.875,-4.82E-002
0.89,-5.08E-002
0.905,-5.36E-002
0.92,-5.65E-002
0.935,-5.96E-002
0.95,-6.29E-002
0.965,-6.64E-002
0.98,-7.20E-002
0.995,-7.57E-002
1.01,-7.84E-002
1.025,-8.12E-002
1.04,-8.50E-002
1.055,-9.01E-002
1.07,-9.54E-002
1.085,-1.01E-001
1.1,-1.06E-001
1.115,-1.12E-001
1.13,-1.17E-001
1.145,-1.23E-001
1.16,-1.30E-001
1.175,-1.36E-001
1.19,-1.43E-001
1.205,-1.50E-001
1.22,-1.57E-001
1.235,-1.64E-001
1.25,-1.71E-001
1.265,-1.78E-001
1.28,-1.86E-001
1.295,-1.93E-001
1.31,-2.01E-001
1.325,-2.08E-001
1.34,-2.15E-001
1.355,-2.23E-001
1.37,-2.30E-001
1.385,-2.36E-001
1.4,-2.43E-001
1.415,-2.49E-001
1.43,-2.55E-001
1.445,-2.60E-001
1.46,-2.65E-001
1.475,-2.70E-001
1.49,-2.74E-001
1.505,-2.78E-001
1.52,-2.81E-001
1.535,-2.83E-001
1.55,-2.85E-001
1.565,-2.86E-001
1.58,-2.87E-001
1.595,-2.87E-001
1.61,-2.87E-001
1.625,-2.86E-001
1.64,-2.84E-001
1.655,-2.82E-001
1.67,-2.79E-001
1.685,-2.76E-001
1.7,-2.71E-001
1.715,-2.66E-001
1.73,-2.61E-001
1.745,-2.56E-001
1.76,-2.49E-001
1.775,-2.42E-001
1.79,-2.35E-001
1.805,-2.27E-001
1.82,-2.19E-001
1.835,-2.10E-001
1.85,-2.01E-001
1.865,-1.91E-001
1.88,-1.81E-001
1.895,-1.71E-001
1.91,-1.61E-001
1.925,-1.49E-001
1.94,-1.38E-001
1.955,-1.26E-001
1.97,-1.14E-001
1.985,-1.02E-001
2,-9.00E-002
2.015,-7.76E-002
2.03,-6.49E-002
2.045,-5.19E-002
2.06,-3.92E-002
2.075,-2.66E-002
2.09,-1.35E-002
2.105,-4.30E-004
2.12,1.23E-002
2.135,2.50E-002
2.15,3.75E-002
2.165,5.01E-002
2.18,6.25E-002
2.195,7.45E-002
2.21,8.65E-002
2.225,9.86E-002
2.24,1.11E-001
2.255,1.23E-001
2.27,1.34E-001
2.285,1.46E-001
2.3,1.57E-001
2.315,1.68E-001
2.33,1.79E-001
2.345,1.90E-001
2.36,2.00E-001
2.375,2.11E-001
2.39,2.22E-001
2.405,2.32E-001
2.42,2.43E-001
2.435,2.53E-001
2.45,2.63E-001
2.465,2.72E-001
2.48,2.82E-001
2.495,2.91E-001
2.51,3.00E-001
2.525,3.09E-001
2.54,3.18E-001
2.555,3.26E-001
2.57,3.35E-001
2.585,3.43E-001
2.6,3.51E-001
2.615,3.59E-001
2.63,3.67E-001
2.645,3.75E-001
2.66,3.83E-001
2.675,3.91E-001
2.69,3.98E-001
2.705,4.05E-001
2.72,4.12E-001
2.735,4.19E-001
2.75,4.26E-001
2.765,4.33E-001
2.78,4.39E-001
2.795,4.46E-001
2.81,4.52E-001
2.825,4.58E-001
2.84,4.64E-001
2.855,4.70E-001
2.87,4.76E-001
2.885,4.81E-001
2.9,4.86E-001
2.915,4.91E-001
