x/D,u/U
0.5,2.00000000E-009
0.515,1.62589400E-004
0.53,1.03050230E-003
0.545,2.44034330E-003
0.56,4.05261930E-003
0.575,5.67137580E-003
0.59,7.20776600E-003
0.605,8.60048500E-003
0.62,9.86688720E-003
0.635,1.10623096E-002
0.65,1.20721209E-002
0.665,1.30390144E-002
0.68,1.39152237E-002
0.695,1.47952367E-002
0.71,1.56450825E-002
0.725,1.65001951E-002
0.74,1.73836312E-002
0.755,1.82272824E-002
0.77,1.91248091E-002
0.785,2.00534807E-002
0.8,2.09613120E-002
0.815,2.18742350E-002
0.83,2.27861960E-002
0.845,2.37350097E-002
0.86,2.47204515E-002
0.875,2.57598430E-002
0.89,2.67597605E-002
0.905,2.78901293E-002
0.92,2.89934821E-002
0.935,3.00962372E-002
0.95,3.13631226E-002
0.965,3.24456627E-002
0.98,3.40235644E-002
0.995,3.46878817E-002
1.01,3.50635914E-002
1.025,3.55097865E-002
1.04,3.63171472E-002
1.055,3.77535083E-002
1.07,3.95078629E-002
1.085,4.13948778E-002
1.1,4.31255615E-002
1.115,4.49669412E-002
1.13,4.66896020E-002
1.145,4.81511238E-002
1.16,4.96577711E-002
1.175,5.13215895E-002
1.19,5.28863914E-002
1.205,5.43484973E-002
1.22,5.58145618E-002
1.235,5.74844198E-002
1.25,5.92385399E-002
1.265,6.07187088E-002
1.28,6.18150737E-002
1.295,6.27983264E-002
1.31,6.39025405E-002
1.325,6.48978855E-002
1.34,6.56797677E-002
1.355,6.62812207E-002
1.37,6.66909887E-002
1.385,6.72553854E-002
1.4,6.78772067E-002
1.415,6.79212599E-002
1.43,6.80513002E-002
1.445,6.81042335E-002
1.46,6.80689423E-002
1.475,6.77825406E-002
1.49,6.75890114E-002
1.505,6.75055275E-002
1.52,6.72049744E-002
1.535,6.70735564E-002
1.55,6.69072783E-002
1.565,6.63987907E-002
1.58,6.59443298E-002
1.595,6.54697986E-002
1.61,6.51716591E-002
1.625,6.51608697E-002
1.64,6.50896822E-002
1.655,6.48720469E-002
1.67,6.51026225E-002
1.685,6.54135754E-002
1.7,6.54892662E-002
1.715,6.56342820E-002
1.73,6.61115812E-002
1.745,6.65884283E-002
1.76,6.72027830E-002
1.775,6.77605348E-002
1.79,6.83426881E-002
1.805,6.89650643E-002
1.82,6.97955655E-002
1.835,7.04312374E-002
1.85,7.09526572E-002
1.865,7.17406565E-002
1.88,7.24738284E-002
1.895,7.32153022E-002
1.91,7.38893017E-002
1.925,7.44602466E-002
1.94,7.49084047E-002
1.955,7.54646878E-002
1.97,7.60370136E-002
1.985,7.64291127E-002
2,7.67589742E-002
2.015,7.71036286E-002
2.03,7.73643894E-002
2.045,7.74325887E-002
2.06,7.76538548E-002
2.075,7.77763930E-002
2.09,7.76962609E-002
2.105,7.75408284E-002
2.12,7.73996612E-002
2.135,7.70613845E-002
2.15,7.66629838E-002
2.165,7.64267758E-002
2.18,7.63333288E-002
2.195,7.58692798E-002
2.21,7.53370245E-002
2.225,7.49315421E-002
2.24,7.45017717E-002
2.255,7.39513544E-002
2.27,7.33777879E-002
2.285,7.25557750E-002
2.3,7.18878992E-002
2.315,7.11193766E-002
2.33,7.02496429E-002
2.345,6.94320273E-002
2.36,6.86945046E-002
2.375,6.77649356E-002
2.39,6.67281044E-002
2.405,6.56992664E-002
2.42,6.47257255E-002
2.435,6.37850677E-002
2.45,6.28788479E-002
2.465,6.20591066E-002
2.48,6.11861834E-002
2.495,6.03672023E-002
2.51,5.96817053E-002
2.525,5.89262287E-002
2.54,5.81592546E-002
2.555,5.76730578E-002
2.57,5.70555614E-002
2.585,5.63430281E-002
2.6,5.57347083E-002
2.615,5.52925608E-002
2.63,5.47730123E-002
2.645,5.41457101E-002
2.66,5.34067021E-002
2.675,5.28067191E-002
2.69,5.23589560E-002
2.705,5.18303149E-002
2.72,5.11704172E-002
2.735,5.05774626E-002
2.75,4.99955235E-002
2.765,4.94507816E-002
2.78,4.88118615E-002
2.795,4.82643386E-002
2.81,4.76276202E-002
2.825,4.70867988E-002
2.84,4.65162434E-002
2.855,4.59582263E-002
2.87,4.54107814E-002
2.885,4.47574619E-002
2.9,4.42190151E-002
2.915,4.38252812E-002
2.93,4.32573189E-002
2.945,4.27262529E-002
2.96,4.23583720E-002
2.975,4.18639964E-002
2.99,4.13845594E-002
3.005,4.08600260E-002
3.02,4.03795946E-002
3.035,4.00118352E-002
3.05,3.97586071E-002
3.065,3.94155068E-002
3.08,3.90872620E-002
3.095,3.88103322E-002
3.11,3.84962312E-002
3.125,3.82065348E-002
3.14,3.78883099E-002
3.155,3.75009936E-002
3.17,3.72411695E-002
3.185,3.70098888E-002
3.2,3.67647398E-002
3.215,3.65575693E-002
3.23,3.63767753E-002
3.245,3.62607873E-002
3.26,3.61321289E-002
3.275,3.59043234E-002
3.29,3.56453123E-002
3.305,3.55113794E-002
3.32,3.53713392E-002
3.335,3.52093660E-002
3.35,3.49939799E-002
3.365,3.47619161E-002
3.38,3.46280818E-002
3.395,3.44254617E-002
3.41,3.41812270E-002
3.425,3.39300760E-002
3.44,3.36627887E-002
3.455,3.34305522E-002
3.47,3.31991195E-002
3.485,3.30022659E-002
3.5,3.27692626E-002
3.515,3.25828439E-002
3.53,3.24669830E-002
3.545,3.23026936E-002
3.56,3.21115494E-002
3.575,3.19466520E-002
3.59,3.18138335E-002
3.605,3.17083800E-002
3.62,3.16572229E-002
3.635,3.15865737E-002
3.65,3.15535310E-002
3.665,3.15490266E-002
3.68,3.15280099E-002
3.695,3.14994985E-002
3.71,3.14305242E-002
3.725,3.13855817E-002
3.74,3.13436644E-002
3.755,3.12509472E-002
3.77,3.12016538E-002
3.785,3.11449398E-002
3.8,3.10748649E-002
3.815,3.10316666E-002
3.83,3.10033805E-002
3.845,3.09067100E-002
3.86,3.07301196E-002
3.875,3.06176040E-002
3.89,3.06161249E-002
3.905,3.06575530E-002
3.92,3.06797582E-002
3.935,3.06975281E-002
3.95,3.06575530E-002
3.965,3.06338764E-002
3.98,3.06486732E-002
3.995,3.06812388E-002
4.01,3.06605132E-002
4.025,3.06176040E-002
4.04,3.06457136E-002
4.055,3.06560730E-002
4.07,3.06176040E-002
4.085,3.05895073E-002
4.1,3.06131668E-002
4.115,3.06146458E-002
4.13,3.06042934E-002
4.145,3.05968999E-002
4.16,3.05673349E-002
4.175,3.06220415E-002
4.19,3.07167846E-002
4.205,3.07227110E-002
4.22,3.06990092E-002
4.235,3.06990092E-002
