x/D,u/U
0.5,-1.0052e-05
0.5095,-0.00054418
0.519,-0.0019737
0.5285,-0.0039825
0.538,-0.0063164
0.5475,-0.008804
0.557,-0.01132
0.5665,-0.013812
0.576,-0.016195
0.5855,-0.018495
0.595,-0.020667
0.6045,-0.02275
0.614,-0.024707
0.6235,-0.026592
0.633,-0.028429
0.6425,-0.030244
0.652,-0.032053
0.6615,-0.033863
0.671,-0.03568
0.6805,-0.037506
0.69,-0.039348
0.6995,-0.041194
0.709,-0.04305
0.7185,-0.044912
0.728,-0.046782
0.7375,-0.048677
0.747,-0.050601
0.7565,-0.052557
0.766,-0.054595
0.7755,-0.056673
0.785,-0.058822
0.7945,-0.06104
0.804,-0.0633
0.8135,-0.065673
0.823,-0.068064
0.8325,-0.070626
0.842,-0.073198
0.8515,-0.075962
0.861,-0.078726
0.8705,-0.081715
0.88,-0.084705
0.8895,-0.087899
0.899,-0.09113
0.9085,-0.094515
0.918,-0.098005
0.9275,-0.10154
0.937,-0.10523
0.9465,-0.10892
0.956,-0.11281
0.9655,-0.11678
0.975,-0.12072
0.9845,-0.12448
0.994,-0.12823
1.0035,-0.13246
1.013,-0.1375
1.0225,-0.14213
1.032,-0.14662
1.0415,-0.15128
1.051,-0.15599
1.0605,-0.16077
1.07,-0.16565
1.0795,-0.17056
1.089,-0.17555
1.0985,-0.18056
1.108,-0.18562
1.1175,-0.19074
1.127,-0.19588
1.1365,-0.20107
1.146,-0.20624
1.1555,-0.21142
1.165,-0.21653
1.1745,-0.22161
1.184,-0.22662
1.1935,-0.23155
1.203,-0.23643
1.2125,-0.24114
1.222,-0.24579
1.2315,-0.25033
1.241,-0.25474
1.2505,-0.25907
1.26,-0.26317
1.2695,-0.26715
1.279,-0.27094
1.2885,-0.27443
1.298,-0.27778
1.3075,-0.28075
1.317,-0.28352
1.3265,-0.28607
1.336,-0.2883
1.3455,-0.29037
1.355,-0.2921
1.3645,-0.29355
1.374,-0.29477
1.3835,-0.29553
1.393,-0.29611
1.4025,-0.29634
1.412,-0.29627
1.4215,-0.29602
1.431,-0.29529
1.4405,-0.29437
1.45,-0.2931
1.4595,-0.29145
1.469,-0.28961
1.4785,-0.28721
1.488,-0.28461
1.4975,-0.28166
1.507,-0.27836
1.5165,-0.27489
1.526,-0.27103
1.5355,-0.26697
1.545,-0.26266
1.5545,-0.25798
1.564,-0.25315
1.5735,-0.24796
1.583,-0.24254
1.5925,-0.23693
1.602,-0.23093
1.6115,-0.22479
1.621,-0.21833
1.6305,-0.21167
1.64,-0.20485
1.6495,-0.19774
1.659,-0.19054
1.6685,-0.18317
1.678,-0.17565
1.6875,-0.16805
1.697,-0.16026
1.7065,-0.1524
1.716,-0.14443
1.7255,-0.13633
1.735,-0.12816
1.7445,-0.11983
1.754,-0.11143
1.7635,-0.10294
1.773,-0.094326
1.7825,-0.085671
1.792,-0.076931
1.8015,-0.068175
1.811,-0.059402
1.8205,-0.050628
1.83,-0.041851
1.8395,-0.033065
1.849,-0.024268
1.8585,-0.015462
1.868,-0.006659
1.8775,0.0021326
1.887,0.010893
1.8965,0.019614
1.906,0.028311
1.9155,0.036941
1.925,0.045549
1.9345,0.054116
1.944,0.062653
1.9535,0.071174
1.963,0.079653
1.9725,0.088102
1.982,0.096503
1.9915,0.10482
2.001,0.11309
2.0105,0.12123
2.02,0.12933
2.0295,0.13735
2.039,0.14529
2.0485,0.15318
2.058,0.161
2.0675,0.16875
2.077,0.17645
2.0865,0.18402
2.096,0.19153
2.1055,0.19893
2.115,0.20622
2.1245,0.21346
2.134,0.22056
2.1435,0.22763
2.153,0.2346
2.1625,0.2415
2.172,0.24835
2.1815,0.25507
2.191,0.26173
2.2005,0.26831
2.21,0.27478
2.2195,0.28121
2.229,0.2875
2.2385,0.29372
2.248,0.29984
2.2575,0.30582
2.267,0.31173
2.2765,0.31749
2.286,0.32318
2.2955,0.3288
2.305,0.3343
2.3145,0.33975
2.324,0.34511
2.3335,0.35042
2.343,0.35567
2.3525,0.36083
2.362,0.36596
2.3715,0.37101
2.381,0.376
2.3905,0.38095
2.4,0.3858
2.4095,0.39062
2.419,0.39537
2.4285,0.40007
2.438,0.40474
2.4475,0.40933
2.457,0.41389
2.4665,0.41838
2.476,0.4228
2.4855,0.42718
2.495,0.43147
2.5045,0.43571
2.514,0.4399
2.5235,0.44401
2.533,0.44808
2.5425,0.45207
2.552,0.45602
2.5615,0.45993
2.571,0.46378
2.5805,0.4676
2.59,0.47135
2.5995,0.47506
2.609,0.47874
2.6185,0.48233
2.628,0.48589
2.6375,0.48939
2.647,0.49282
2.6565,0.49622
2.666,0.49951
2.6755,0.50277
2.685,0.50595
2.6945,0.50906
2.704,0.51213
2.7135,0.51511
2.723,0.51805
2.7325,0.52094
2.742,0.52377
2.7515,0.52657
2.761,0.52933
2.7705,0.53207
2.78,0.53479
2.7895,0.53748
2.799,0.54016
2.8085,0.54281
2.818,0.54545
2.8275,0.54806
2.837,0.55063
2.8465,0.55319
2.856,0.5557
2.8655,0.55818
2.875,0.56063
2.8845,0.56301
2.894,0.56537
2.9035,0.56768
2.913,0.56993
2.9225,0.57215
2.932,0.5743
2.9415,0.57644
2.951,0.57853
2.9605,0.5806
2.97,0.58264
2.9795,0.58465
2.989,0.58665
2.9985,0.58863
3.008,0.59058
3.0175,0.59251
3.027,0.59441
3.0365,0.59629
3.046,0.59815
3.0555,0.59996
3.065,0.60176
3.0745,0.60352
3.084,0.60525
3.0935,0.60696
3.103,0.60862
3.1125,0.61027
3.122,0.61188
3.1315,0.61346
3.141,0.61503
3.1505,0.61657
3.16,0.6181
3.1695,0.61962
3.179,0.62111
3.1885,0.6226
3.198,0.62407
3.2075,0.62552
3.217,0.62697
3.2265,0.62839
3.236,0.62979
3.2455,0.63117
3.255,0.63253
3.2645,0.63388
3.274,0.63519
3.2835,0.63649
3.293,0.63777
3.3025,0.63903
3.312,0.64027
3.3215,0.64148
3.331,0.64267
3.3405,0.64383
3.35,0.64497
3.3595,0.64609
3.369,0.64718
3.3785,0.64826
3.388,0.64933
3.3975,0.65038
3.407,0.65144
3.4165,0.65248
3.426,0.65352
3.4355,0.65455
3.445,0.65556
3.4545,0.65657
3.464,0.65756
3.4735,0.65855
3.483,0.65952
3.4925,0.66048
3.502,0.66142
3.5115,0.66235
3.521,0.66327
3.5305,0.66417
3.54,0.66505
3.5495,0.66593
3.559,0.66678
3.5685,0.66763
3.578,0.66846
3.5875,0.66928
3.597,0.67009
3.6065,0.67089
3.616,0.67168
3.6255,0.67246
3.635,0.67323
3.6445,0.674
3.654,0.67475
3.6635,0.67549
3.673,0.67622
3.6825,0.67694
3.692,0.67765
3.7015,0.67836
3.711,0.67906
3.7205,0.67975
3.73,0.68044
3.7395,0.68112
3.749,0.6818
3.7585,0.68246
3.768,0.68312
3.7775,0.68377
3.787,0.68441
3.7965,0.68505
3.806,0.68568
3.8155,0.68631
3.825,0.68693
3.8345,0.68755
3.844,0.68817
3.8535,0.68878
3.863,0.68939
3.8725,0.68999
3.882,0.69057
3.8915,0.69116
3.901,0.69172
3.9105,0.69228
3.92,0.69283
3.9295,0.69336
3.939,0.69389
3.9485,0.69441
3.958,0.69492
3.9675,0.69543
3.977,0.69594
3.9865,0.69644
3.996,0.69694
4.0055,0.69743
4.015,0.69793
4.0245,0.69842
4.034,0.6989
4.0435,0.69938
4.053,0.69986
4.0625,0.70033
4.072,0.70079
4.0815,0.70125
4.091,0.70169
4.1005,0.70214
4.11,0.70258
4.1195,0.70301
4.129,0.70345
4.1385,0.70388
4.148,0.70431
4.1575,0.70474
4.167,0.70517
4.1765,0.7056
4.186,0.70602
4.1955,0.70644
4.205,0.70686
4.2145,0.70728
4.224,0.70769
4.2335,0.7081
4.243,0.7085
4.2525,0.7089
4.262,0.7093
4.2715,0.70969
4.281,0.71008
4.2905,0.71047
4.3,0.71085
4.3095,0.71123
4.319,0.7116
4.3285,0.71196
4.338,0.71231
4.3475,0.71265
4.357,0.71298
4.3665,0.71329
4.376,0.7136
4.3855,0.7139
4.395,0.71419
4.4045,0.71447
4.414,0.71476
4.4235,0.71504
4.433,0.71533
4.4425,0.71562
4.452,0.71592
4.4615,0.71623
4.471,0.71653
4.4805,0.71684
4.49,0.71715
4.4995,0.71746
4.509,0.71778
4.5185,0.71812
4.528,0.71852
4.566,0.71978
4.5755,0.72008
4.585,0.72038
4.5945,0.72069
4.604,0.72099
4.6135,0.72128
4.623,0.72158
4.6325,0.72187
4.642,0.72215
4.6515,0.72244
4.661,0.72272
4.6705,0.723
4.68,0.72328
4.6895,0.72355
4.699,0.72381
4.7085,0.72408
4.718,0.72434
4.7275,0.7246
4.737,0.72485
4.7465,0.7251
4.756,0.72535
4.7655,0.72559
4.775,0.72583
4.7845,0.72607
4.794,0.7263
4.8035,0.72654
4.813,0.72677
4.8225,0.727
4.832,0.72723
4.8415,0.72746
4.851,0.72769
4.8605,0.72792
4.87,0.72815
4.8795,0.72838
4.889,0.72861
4.8985,0.72884
4.908,0.72908
4.9175,0.72931
4.927,0.72955
4.9365,0.72978
4.946,0.73002
4.9555,0.73025
4.965,0.73049
4.9745,0.73072
4.984,0.73095
4.9935,0.73119
5.003,0.73142
5.0125,0.73165
5.022,0.73189
5.0315,0.73212
5.041,0.73235
5.0505,0.73258
5.06,0.73281
5.0695,0.73303
5.079,0.73326
5.0885,0.73349
5.098,0.73372
5.1075,0.73394
5.117,0.73417
5.1265,0.73439
5.136,0.73461
5.1455,0.73483
5.155,0.73505
5.1645,0.73527
5.174,0.73548
5.1835,0.7357
5.193,0.73591
5.2025,0.73611
5.212,0.73632
5.2215,0.73653
5.231,0.73673
5.2405,0.73694
5.25,0.73714
5.2595,0.73734
5.269,0.73753
5.2785,0.73773
5.288,0.73793
5.2975,0.73812
5.307,0.73832
5.3165,0.73851
5.326,0.7387
5.3355,0.7389
5.345,0.73909
5.3545,0.73928
5.364,0.73947
5.3735,0.73967
5.383,0.73986
5.3925,0.74005
5.402,0.74025
5.4115,0.74044
5.421,0.74064
5.4305,0.74083
5.44,0.74103
5.4495,0.74123
5.459,0.74143
5.4685,0.74162
5.478,0.74182
5.4875,0.74202
5.497,0.74222
5.5065,0.74241
5.516,0.7426
5.5255,0.74279
5.535,0.74298
5.5445,0.74316
5.554,0.74335
5.5635,0.74352
5.573,0.74369
5.5825,0.74386
5.592,0.74403
5.6015,0.74419
5.611,0.74434
5.6205,0.7445
5.63,0.74465
5.6395,0.7448
5.649,0.74494
5.6585,0.74509
5.668,0.74522
5.6775,0.74536
5.687,0.7455
5.6965,0.74563
5.706,0.74576
5.7155,0.74589
5.725,0.74602
5.7345,0.74615
5.744,0.74627
5.7535,0.7464
5.763,0.74652
5.7725,0.74665
5.782,0.74677
5.7915,0.7469
5.801,0.74702
5.8105,0.74714
5.82,0.74727
5.8295,0.7474
5.839,0.74752
5.8485,0.74765
5.858,0.74777
5.8675,0.7479
5.877,0.74803
5.8865,0.74815
5.896,0.74828
5.9055,0.7484
5.915,0.74852
5.9245,0.74865
5.934,0.74877
5.9435,0.74888
5.953,0.749
5.9625,0.74911
5.972,0.74922
5.9815,0.74933
5.991,0.74943
6.0005,0.74953
6.01,0.74963
6.0195,0.74972
6.029,0.74982
6.0385,0.74991
6.048,0.74999
6.0575,0.75008
6.067,0.75016
6.0765,0.75024
6.086,0.75032
6.0955,0.7504
6.105,0.75047
6.1145,0.75055
6.124,0.75062
6.1335,0.7507
6.143,0.75077
6.1525,0.75085
6.162,0.75092
6.1715,0.75099
6.181,0.75107
6.1905,0.75114
6.2,0.75121
6.2095,0.75129
6.219,0.75136
6.2285,0.75144
6.238,0.75151
6.2475,0.75159
6.257,0.75166
6.2665,0.75174
6.276,0.75182
6.2855,0.7519
6.295,0.75198
6.3045,0.75207
6.314,0.75215
6.3235,0.75224
6.333,0.75233
6.3425,0.75242
6.352,0.75251
6.3615,0.75261
6.371,0.75271
6.3805,0.75281
6.39,0.75291
6.3995,0.75301
6.409,0.75312
6.4185,0.75322
6.428,0.75333
6.4375,0.75344
6.447,0.75355
6.4565,0.75366
6.466,0.75377
6.4755,0.75388
6.485,0.75398
6.4945,0.75409
6.504,0.7542
6.5135,0.7543
6.523,0.7544
6.5325,0.75451
6.542,0.7546
6.5515,0.7547
6.561,0.7548
6.5705,0.75489
6.58,0.75498
6.5895,0.75507
6.599,0.75516
6.6085,0.75524
6.618,0.75533
6.6275,0.75541
6.637,0.75549
6.6465,0.75557
6.656,0.75565
6.6655,0.75572
6.675,0.7558
6.6845,0.75587
6.694,0.75595
6.7035,0.75602
6.713,0.75609
6.7225,0.75616
6.732,0.75623
6.7415,0.7563
6.751,0.75637
6.7605,0.75643
6.77,0.7565
6.7795,0.75656
6.789,0.75662
6.7985,0.75668
6.808,0.75674
6.8175,0.7568
6.827,0.75686
6.8365,0.75691
6.846,0.75697
6.8555,0.75702
6.865,0.75708
6.8745,0.75713
6.884,0.75718
6.8935,0.75723
6.903,0.75728
6.9125,0.75733
6.922,0.75738
6.9315,0.75743
6.941,0.75748
6.9505,0.75752
6.96,0.75757
6.9695,0.75762
6.979,0.75766
6.9885,0.75771
6.998,0.75775
7.0075,0.7578
7.017,0.75784
7.0265,0.75788
7.036,0.75792
7.0455,0.75797
7.055,0.75801
7.0645,0.75805
7.074,0.75809
7.0835,0.75813
7.093,0.75817
7.1025,0.75821
7.112,0.75826
7.1215,0.7583
7.131,0.75834
7.1405,0.75838
7.15,0.75842
7.1595,0.75846
7.169,0.75851
7.1785,0.75855
7.188,0.7586
7.1975,0.75865
7.207,0.7587
7.2165,0.75875
7.226,0.7588
7.2355,0.75885
7.245,0.75891
7.2545,0.75897
7.264,0.75903
7.2735,0.75909
7.283,0.75915
7.2925,0.75921
7.302,0.75928
7.3115,0.75934
7.321,0.7594
7.3305,0.75947
7.34,0.75954
7.3495,0.7596
7.359,0.75967
7.3685,0.75974
7.378,0.7598
7.3875,0.75987
7.397,0.75994
7.4065,0.76001
7.416,0.76007
7.4255,0.76014
7.435,0.76021
7.4445,0.76027
7.454,0.76034
7.4635,0.76041
7.473,0.76047
7.4825,0.76053
7.492,0.76059
7.5015,0.76066
7.511,0.76072
7.5205,0.76078
7.53,0.76084
7.5395,0.76094
7.549,0.76104
7.5585,0.76115
7.625,0.7616
7.6345,0.76163
7.644,0.76167
7.6535,0.76171
7.663,0.76174
7.6725,0.76178
7.682,0.76181
7.6915,0.76185
7.701,0.76187
7.7105,0.7619
7.72,0.76193
7.7295,0.76196
7.739,0.76199
7.7485,0.76201
7.758,0.76204
7.7675,0.76206
7.777,0.76208
7.7865,0.7621
7.796,0.76212
7.8055,0.76214
7.815,0.76217
7.8245,0.76219
7.834,0.76221
7.8435,0.76223
7.853,0.76225
7.8625,0.76227
7.872,0.76229
7.8815,0.76231
7.891,0.76233
7.9005,0.76235
7.91,0.76238
7.9195,0.7624
7.929,0.76242
7.9385,0.76244
7.948,0.76247
7.9575,0.76249
7.967,0.76252
7.9765,0.76255
7.986,0.76257
7.9955,0.7626
8.005,0.76263
8.0145,0.76266
8.024,0.76269
8.0335,0.76272
8.043,0.76276
8.0525,0.76279
8.062,0.76282
8.0715,0.76286
8.081,0.76289
8.0905,0.76293
8.1,0.76297
8.1095,0.763
8.119,0.76304
8.1285,0.76308
8.138,0.76312
8.1475,0.76316
8.157,0.76321
8.1665,0.76325
8.176,0.76329
8.1855,0.76333
8.195,0.76338
8.2045,0.76342
8.214,0.76347
8.2235,0.76352
8.233,0.76356
8.2425,0.76361
8.252,0.76365
8.2615,0.7637
8.271,0.76375
8.2805,0.7638
8.29,0.76385
8.2995,0.7639
8.309,0.76395
8.3185,0.76401
8.328,0.76406
8.3375,0.76411
8.347,0.76416
8.3565,0.76422
8.366,0.76427
8.3755,0.76432
8.385,0.76438
8.3945,0.76443
8.404,0.76449
8.4135,0.76454
8.423,0.7646
8.4325,0.76465
8.442,0.76471
8.4515,0.76477
8.461,0.76482
8.4705,0.76488
8.48,0.76493
8.4895,0.76499
8.499,0.76505
8.5085,0.7651
8.518,0.76516
8.5275,0.76521
8.537,0.76527
8.5465,0.76532
8.556,0.76538
8.5655,0.76543
8.575,0.76548
8.5845,0.76554
8.594,0.76559
8.6035,0.76565
8.613,0.7657
8.6225,0.76575
8.632,0.7658
8.6415,0.76586
8.651,0.76591
8.6605,0.76596
8.67,0.76601
8.6795,0.76606
8.689,0.76611
8.6985,0.76616
8.708,0.76621
8.7175,0.76625
8.727,0.7663
8.7365,0.76635
8.746,0.7664
8.7555,0.76644
8.765,0.76649
8.7745,0.76653
8.784,0.76657
8.7935,0.76662
8.803,0.76666
8.8125,0.7667
8.822,0.76674
8.8315,0.76678
8.841,0.76682
8.8505,0.76686
8.86,0.7669
8.8695,0.76694
8.879,0.76697
8.8885,0.76701
8.898,0.76704
8.9075,0.76707
8.917,0.76711
8.9265,0.76714
8.936,0.76718
8.9455,0.76721
8.955,0.76723
8.9645,0.76726
8.974,0.76729
8.9835,0.76732
8.993,0.76735
9.0025,0.76738
9.012,0.76741
9.0215,0.76743
9.031,0.76746
9.0405,0.76748
9.05,0.76751
9.0595,0.76753
9.069,0.76755
9.0785,0.76758
9.088,0.7676
9.0975,0.76762
9.107,0.76764
9.1165,0.76766
9.126,0.76769
9.1355,0.7677
9.145,0.76772
9.1545,0.76774
9.164,0.76776
9.1735,0.76778
9.183,0.7678
9.1925,0.76782
9.202,0.76783
9.2115,0.76785
9.221,0.76786
9.2305,0.76788
9.24,0.76789
9.2495,0.76791
9.259,0.76792
9.2685,0.76793
9.278,0.76795
9.2875,0.76796
9.297,0.76797
9.3065,0.76799
9.316,0.768
9.3255,0.76801
9.335,0.76802
9.3445,0.76803
9.354,0.76804
9.3635,0.76805
9.373,0.76806
9.3825,0.76807
9.392,0.76808
9.4015,0.76809
9.411,0.76811
9.4205,0.76812
9.43,0.76813
9.4395,0.76814
9.449,0.76815
9.4585,0.76816
9.468,0.76817
9.4775,0.76818
9.487,0.76819
9.4965,0.76821
9.506,0.76822
9.5155,0.76823
9.525,0.76824
9.5345,0.76826
9.544,0.76827
9.5535,0.76828
9.563,0.7683
9.5725,0.76831
9.582,0.76833
9.5915,0.76835
9.601,0.76836
9.6105,0.76838
9.62,0.76839
9.6295,0.76841
9.639,0.76843
9.6485,0.76845
9.658,0.76846
9.6675,0.76848
9.677,0.7685
9.6865,0.76852
9.696,0.76854
9.7055,0.76856
9.715,0.76858
9.7245,0.7686
9.734,0.76861
9.7435,0.76863
9.753,0.76865
9.7625,0.76867
9.772,0.76869
9.7815,0.76872
9.791,0.76874
9.8005,0.76876
9.81,0.76878
9.8195,0.7688
9.829,0.76882
9.8385,0.76884
9.848,0.76886
9.8575,0.76888
9.867,0.7689
9.8765,0.76891
9.886,0.76893
9.8955,0.76895
9.905,0.76897
9.9145,0.76899
9.924,0.76901
9.9335,0.76903
9.943,0.76905
9.9525,0.76907
9.962,0.76909
9.9715,0.76911
9.981,0.76913
9.9905,0.76914
10,0.76916
