x/D,u/U,v/U
-2,1.10170000E+000,3.347600000E-002
-1.992,1.10210000E+000,3.388300000E-002
-1.984,1.10250000E+000,3.428900000E-002
-1.976,1.10290000E+000,3.469600000E-002
-1.968,1.10320000E+000,3.510600000E-002
-1.96,1.10360000E+000,3.552600000E-002
-1.952,1.10400000E+000,3.595200000E-002
-1.944,1.10440000E+000,3.637800000E-002
-1.936,1.10480000E+000,3.681000000E-002
-1.928,1.10520000E+000,3.725000000E-002
-1.92,1.10550000E+000,3.769100000E-002
-1.912,1.10590000E+000,3.813600000E-002
-1.904,1.10630000E+000,3.858700000E-002
-1.896,1.10670000E+000,3.904600000E-002
-1.888,1.10710000E+000,3.950800000E-002
-1.88,1.10750000E+000,3.997300000E-002
-1.872,1.10790000E+000,4.044500000E-002
-1.864,1.10830000E+000,4.092700000E-002
-1.856,1.10870000E+000,4.141300000E-002
-1.848,1.10920000E+000,4.190100000E-002
-1.84,1.10960000E+000,4.239200000E-002
-1.832,1.11000000E+000,4.289100000E-002
-1.824,1.11040000E+000,4.340000000E-002
-1.816,1.11080000E+000,4.391300000E-002
-1.808,1.11120000E+000,4.443200000E-002
-1.8,1.11160000E+000,4.495500000E-002
-1.792,1.11210000E+000,4.548500000E-002
-1.784,1.11250000E+000,4.601900000E-002
-1.776,1.11290000E+000,4.655700000E-002
-1.768,1.11340000E+000,4.710100000E-002
-1.76,1.11380000E+000,4.765400000E-002
-1.752,1.11420000E+000,4.821400000E-002
-1.744,1.11460000E+000,4.878100000E-002
-1.736,1.11510000E+000,4.935300000E-002
-1.728,1.11550000E+000,4.993600000E-002
-1.72,1.11600000E+000,5.052400000E-002
-1.712,1.11640000E+000,5.111800000E-002
-1.704,1.11690000E+000,5.171700000E-002
-1.696,1.11730000E+000,5.232100000E-002
-1.688,1.11770000E+000,5.293400000E-002
-1.68,1.11820000E+000,5.355200000E-002
-1.672,1.11870000E+000,5.417800000E-002
-1.664,1.11910000E+000,5.481100000E-002
-1.656,1.11960000E+000,5.545500000E-002
-1.648,1.12000000E+000,5.610500000E-002
-1.64,1.12050000E+000,5.676500000E-002
-1.632,1.12100000E+000,5.743000000E-002
-1.624,1.12140000E+000,5.810400000E-002
-1.616,1.12190000E+000,5.878700000E-002
-1.608,1.12240000E+000,5.949000000E-002
-1.6,1.12280000E+000,6.017300000E-002
-1.592,1.12330000E+000,6.088100000E-002
-1.584,1.12380000E+000,6.159400000E-002
-1.576,1.12430000E+000,6.231300000E-002
-1.568,1.12480000E+000,6.304400000E-002
-1.56,1.12520000E+000,6.378400000E-002
-1.552,1.12570000E+000,6.453300000E-002
-1.544,1.12620000E+000,6.529200000E-002
-1.536,1.12670000E+000,6.605700000E-002
-1.528,1.12720000E+000,6.683100000E-002
-1.52,1.12770000E+000,6.761800000E-002
-1.512,1.12820000E+000,6.841200000E-002
-1.504,1.12870000E+000,6.921200000E-002
-1.496,1.12920000E+000,7.002300000E-002
-1.488,1.12970000E+000,7.084700000E-002
-1.48,1.13020000E+000,7.168400000E-002
-1.472,1.13070000E+000,7.252800000E-002
-1.464,1.13120000E+000,7.337900000E-002
-1.456,1.13170000E+000,7.424200000E-002
-1.448,1.13220000E+000,7.511700000E-002
-1.44,1.13270000E+000,7.600300000E-002
-1.432,1.13330000E+000,7.689600000E-002
-1.424,1.13380000E+000,7.780200000E-002
-1.416,1.13430000E+000,7.871900000E-002
-1.408,1.13480000E+000,7.964800000E-002
-1.4,1.13540000E+000,8.058800000E-002
-1.392,1.13590000E+000,8.153900000E-002
-1.384,1.13640000E+000,8.250300000E-002
-1.376,1.13690000E+000,8.348000000E-002
-1.368,1.13750000E+000,8.446800000E-002
-1.36,1.13800000E+000,8.546800000E-002
-1.352,1.13850000E+000,8.647900000E-002
-1.344,1.13910000E+000,8.750400000E-002
-1.336,1.13960000E+000,8.854700000E-002
-1.328,1.14010000E+000,8.960500000E-002
-1.32,1.14070000E+000,9.066800000E-002
-1.312,1.14120000E+000,9.174100000E-002
-1.304,1.14180000E+000,9.283300000E-002
-1.296,1.14230000E+000,9.394200000E-002
-1.288,1.14290000E+000,9.506500000E-002
-1.28,1.14340000E+000,9.619800000E-002
-1.272,1.14400000E+000,9.734600000E-002
-1.264,1.14450000E+000,9.851400000E-002
-1.256,1.14510000E+000,9.969600000E-002
-1.248,1.14570000E+000,1.008900000E-001
-1.24,1.14620000E+000,1.020900000E-001
-1.232,1.14680000E+000,1.033200000E-001
-1.224,1.14740000E+000,1.045600000E-001
-1.216,1.14790000E+000,1.058200000E-001
-1.208,1.14850000E+000,1.070900000E-001
-1.2,1.14900000E+000,1.083700000E-001
-1.192,1.14960000E+000,1.096800000E-001
-1.184,1.15020000E+000,1.110100000E-001
-1.176,1.15070000E+000,1.123400000E-001
-1.168,1.15130000E+000,1.137000000E-001
-1.16,1.15190000E+000,1.150800000E-001
-1.152,1.15250000E+000,1.164700000E-001
-1.144,1.15300000E+000,1.178900000E-001
-1.136,1.15360000E+000,1.193300000E-001
-1.128,1.15420000E+000,1.207900000E-001
-1.12,1.15480000E+000,1.222600000E-001
-1.112,1.15540000E+000,1.237500000E-001
-1.104,1.15590000E+000,1.252700000E-001
-1.096,1.15650000E+000,1.268000000E-001
-1.088,1.15710000E+000,1.283500000E-001
-1.08,1.15770000E+000,1.299500000E-001
-1.072,1.15820000E+000,1.315000000E-001
-1.064,1.15880000E+000,1.331200000E-001
-1.056,1.15940000E+000,1.347600000E-001
-1.048,1.15990000E+000,1.364100000E-001
-1.04,1.16050000E+000,1.381000000E-001
-1.032,1.16100000E+000,1.398100000E-001
-1.024,1.16160000E+000,1.415300000E-001
-1.016,1.16220000E+000,1.432900000E-001
-1.008,1.16270000E+000,1.450800000E-001
-1,1.16330000E+000,1.469000000E-001
-0.992,1.16380000E+000,1.487500000E-001
-0.984,1.16440000E+000,1.506200000E-001
-0.976,1.16490000E+000,1.525300000E-001
-0.968,1.16550000E+000,1.544600000E-001
-0.96,1.16600000E+000,1.564200000E-001
-0.952,1.16650000E+000,1.584200000E-001
-0.944,1.16700000E+000,1.604600000E-001
-0.936,1.16750000E+000,1.625400000E-001
-0.928,1.16800000E+000,1.646400000E-001
-0.92,1.16840000E+000,1.667700000E-001
-0.912,1.16870000E+000,1.689300000E-001
-0.904,1.16900000E+000,1.711200000E-001
-0.896,1.16930000E+000,1.733700000E-001
-0.888,1.16960000E+000,1.756700000E-001
-0.88,1.16990000E+000,1.781200000E-001
-0.872,1.17010000E+000,1.803800000E-001
-0.864,1.17030000E+000,1.827800000E-001
-0.856,1.17050000E+000,1.852700000E-001
-0.848,1.17060000E+000,1.878400000E-001
-0.84,1.17060000E+000,1.904500000E-001
-0.832,1.17040000E+000,1.931100000E-001
-0.824,1.17010000E+000,1.958600000E-001
-0.816,1.16960000E+000,1.986600000E-001
-0.808,1.16900000E+000,2.015200000E-001
-0.8,1.16840000E+000,2.044600000E-001
-0.792,1.16760000E+000,2.074600000E-001
-0.784,1.16670000E+000,2.105700000E-001
-0.776,1.16550000E+000,2.137700000E-001
-0.768,1.16410000E+000,2.171000000E-001
