x/D,u/U,v/U
-2,1.11060862E+000,2.935038039E-002
-1.992,1.11124260E+000,2.970371936E-002
-1.984,1.11187659E+000,3.005621302E-002
-1.976,1.11251057E+000,3.039222316E-002
-1.968,1.11310228E+000,3.071766695E-002
-1.96,1.11369400E+000,3.104353339E-002
-1.952,1.11424345E+000,3.137066779E-002
-1.944,1.11483517E+000,3.171893491E-002
-1.936,1.11534235E+000,3.212172443E-002
-1.928,1.11584954E+000,3.255874894E-002
-1.92,1.11631446E+000,3.299619611E-002
-1.912,1.11682164E+000,3.342772612E-002
-1.904,1.11728656E+000,3.386390533E-002
-1.896,1.11775148E+000,3.429797126E-002
-1.888,1.11821640E+000,3.472823331E-002
-1.88,1.11868132E+000,3.516525782E-002
-1.872,1.11914624E+000,3.560777684E-002
-1.864,1.11965342E+000,3.605283178E-002
-1.856,1.12011834E+000,3.649704142E-002
-1.848,1.12062553E+000,3.693956044E-002
-1.84,1.12113271E+000,3.739010989E-002
-1.832,1.12163990E+000,3.784192730E-002
-1.824,1.12214708E+000,3.829374472E-002
-1.816,1.12265427E+000,3.876162299E-002
-1.808,1.12316145E+000,3.922020287E-002
-1.8,1.12371090E+000,3.969061708E-002
-1.792,1.12421809E+000,4.016187658E-002
-1.784,1.12472528E+000,4.064623838E-002
-1.776,1.12523246E+000,4.112595097E-002
-1.768,1.12573965E+000,4.161158073E-002
-1.76,1.12624683E+000,4.210819949E-002
-1.752,1.12675402E+000,4.260777684E-002
-1.744,1.12730347E+000,4.312341505E-002
-1.736,1.12789518E+000,4.364750634E-002
-1.728,1.12848690E+000,4.416314455E-002
-1.72,1.12907861E+000,4.466610313E-002
-1.712,1.12967033E+000,4.518596788E-002
-1.704,1.13026205E+000,4.572696534E-002
-1.696,1.13085376E+000,4.627218935E-002
-1.688,1.13144548E+000,4.682163990E-002
-1.68,1.13203719E+000,4.737954353E-002
-1.672,1.13262891E+000,4.792899408E-002
-1.664,1.13326289E+000,4.848689772E-002
-1.656,1.13385461E+000,4.905748098E-002
-1.648,1.13448859E+000,4.963651733E-002
-1.64,1.13508030E+000,5.021978022E-002
-1.632,1.13571429E+000,5.081994928E-002
-1.624,1.13630600E+000,5.143702451E-002
-1.616,1.13689772E+000,5.205409975E-002
-1.608,1.13753170E+000,5.266694844E-002
-1.6,1.13820795E+000,5.328825021E-002
-1.592,1.13884193E+000,5.392223161E-002
-1.584,1.13951817E+000,5.456466610E-002
-1.576,1.14019442E+000,5.521132713E-002
-1.568,1.14087067E+000,5.585798817E-002
-1.56,1.14158918E+000,5.650464920E-002
-1.552,1.14230769E+000,5.717244294E-002
-1.544,1.14298394E+000,5.783178360E-002
-1.536,1.14370245E+000,5.848689772E-002
-1.528,1.14442096E+000,5.918850380E-002
-1.52,1.14518174E+000,5.989433643E-002
-1.512,1.14590025E+000,6.059594252E-002
-1.504,1.14666103E+000,6.127218935E-002
-1.496,1.14737954E+000,6.198224852E-002
-1.488,1.14805579E+000,6.271766695E-002
-1.48,1.14873204E+000,6.344885883E-002
-1.472,1.14940828E+000,6.419273035E-002
-1.464,1.15008453E+000,6.497041420E-002
-1.456,1.15076078E+000,6.576077768E-002
-1.448,1.15147929E+000,6.653846154E-002
-1.44,1.15219780E+000,6.733305156E-002
