x/D,u'^2/U^2,v'^2/U^2
-2,1.21288400E-004,1.583066000E-004
-1.992,1.22426800E-004,1.609445000E-004
-1.984,1.23561200E-004,1.636150000E-004
-1.976,1.24710200E-004,1.662966000E-004
-1.968,1.25911900E-004,1.690000000E-004
-1.96,1.27119400E-004,1.717141000E-004
-1.952,1.28351900E-004,1.743940000E-004
-1.944,1.29667200E-004,1.770834000E-004
-1.936,1.31037700E-004,1.799295000E-004
-1.928,1.32717000E-004,1.831412000E-004
-1.92,1.34583500E-004,1.866469000E-004
-1.912,1.36433500E-004,1.903257000E-004
-1.904,1.38355700E-004,1.942053000E-004
-1.896,1.40281300E-004,1.981598000E-004
-1.888,1.42210200E-004,2.020940000E-004
-1.88,1.44142000E-004,2.059941000E-004
-1.872,1.45923500E-004,2.098580000E-004
-1.864,1.47633800E-004,2.136960000E-004
-1.856,1.49292000E-004,2.175064000E-004
-1.848,1.51001100E-004,2.213882000E-004
-1.84,1.52772100E-004,2.253171000E-004
-1.832,1.54448400E-004,2.291653000E-004
-1.824,1.56144400E-004,2.331236000E-004
-1.816,1.58030200E-004,2.373371000E-004
-1.808,1.59873900E-004,2.415620000E-004
-1.8,1.61696100E-004,2.457977000E-004
-1.792,1.63506900E-004,2.500970000E-004
-1.784,1.65404000E-004,2.545549000E-004
-1.776,1.67257300E-004,2.591338000E-004
-1.768,1.69065900E-004,2.638908000E-004
-1.76,1.70829100E-004,2.687188000E-004
-1.752,1.72656900E-004,2.736046000E-004
-1.744,1.74505700E-004,2.785626000E-004
-1.736,1.76476500E-004,2.836078000E-004
-1.728,1.78435800E-004,2.887989000E-004
-1.72,1.80610400E-004,2.941819000E-004
-1.712,1.82935300E-004,2.996294000E-004
-1.704,1.85240600E-004,3.050234000E-004
-1.696,1.87571900E-004,3.105550000E-004
-1.688,1.89929400E-004,3.162414000E-004
-1.68,1.92254800E-004,3.221615000E-004
-1.672,1.94547100E-004,3.282131000E-004
-1.664,1.96888600E-004,3.343828000E-004
-1.656,1.99303700E-004,3.407660000E-004
-1.648,2.01913800E-004,3.473040000E-004
-1.64,2.04698000E-004,3.540155000E-004
-1.632,2.07379500E-004,3.608715000E-004
-1.624,2.10090700E-004,3.678257000E-004
-1.616,2.12745500E-004,3.747808000E-004
-1.608,2.15317800E-004,3.816524000E-004
-1.6,2.17955400E-004,3.887364000E-004
-1.592,2.20433400E-004,3.958855000E-004
-1.584,2.22963200E-004,4.032356000E-004
-1.576,2.25685200E-004,4.108417000E-004
-1.568,2.28168300E-004,4.186919000E-004
