x/D,u'^2/U^2,v'^2/U^2
-2,8.71950000E-004,6.147300000E-004
-1.992,8.90290000E-004,6.295500000E-004
-1.984,9.08890000E-004,6.446200000E-004
-1.976,9.27770000E-004,6.599400000E-004
-1.968,9.47050000E-004,6.756200000E-004
-1.96,9.67070000E-004,6.919300000E-004
-1.952,9.87410000E-004,7.085500000E-004
-1.944,1.00810000E-003,7.254800000E-004
-1.936,1.02930000E-003,7.429100000E-004
-1.928,1.05110000E-003,7.608400000E-004
-1.92,1.07350000E-003,7.792300000E-004
-1.912,1.09640000E-003,7.981600000E-004
-1.904,1.11980000E-003,8.175300000E-004
-1.896,1.14380000E-003,8.377700000E-004
-1.888,1.16830000E-003,8.581100000E-004
-1.88,1.19350000E-003,8.786900000E-004
-1.872,1.21930000E-003,9.002400000E-004
-1.864,1.24570000E-003,9.223300000E-004
-1.856,1.27280000E-003,9.450100000E-004
-1.848,1.30060000E-003,9.683100000E-004
-1.84,1.32910000E-003,9.922400000E-004
-1.832,1.35820000E-003,1.016800000E-003
-1.824,1.38830000E-003,1.042200000E-003
-1.816,1.41890000E-003,1.068100000E-003
-1.808,1.45020000E-003,1.094600000E-003
-1.8,1.48250000E-003,1.122000000E-003
-1.792,1.51550000E-003,1.150200000E-003
-1.784,1.54950000E-003,1.179200000E-003
-1.776,1.58450000E-003,1.209200000E-003
-1.768,1.62020000E-003,1.239800000E-003
-1.76,1.65660000E-003,1.271100000E-003
-1.752,1.69400000E-003,1.303300000E-003
-1.744,1.73230000E-003,1.336300000E-003
-1.736,1.77180000E-003,1.370400000E-003
-1.728,1.81220000E-003,1.405400000E-003
-1.72,1.85370000E-003,1.441400000E-003
-1.712,1.89620000E-003,1.478400000E-003
-1.704,1.94010000E-003,1.516700000E-003
-1.696,1.98510000E-003,1.556000000E-003
-1.688,2.03140000E-003,1.596400000E-003
-1.68,2.07850000E-003,1.637600000E-003
-1.672,2.12690000E-003,1.680000000E-003
-1.664,2.17650000E-003,1.723600000E-003
-1.656,2.22770000E-003,1.768800000E-003
-1.648,2.28030000E-003,1.815200000E-003
-1.64,2.33450000E-003,1.863200000E-003
-1.632,2.39010000E-003,1.912500000E-003
-1.624,2.44700000E-003,1.963100000E-003
-1.616,2.50530000E-003,2.014900000E-003
-1.608,2.56520000E-003,2.068400000E-003
-1.6,2.62690000E-003,2.123600000E-003
-1.592,2.69040000E-003,2.180500000E-003
-1.584,2.75580000E-003,2.239200000E-003
-1.576,2.82270000E-003,2.299500000E-003
-1.568,2.89160000E-003,2.361500000E-003
