tc,Energy,Dissipation Rate, Enstrophy
0.0099982,0.12499,0.00048625,0.37437
0.019996,0.12499,0.00048625,0.37436
0.029995,0.12498,0.00047432,0.37437
0.039993,0.12498,0.00046999,0.37438
0.049991,0.12498,0.00046815,0.3744
0.059989,0.12497,0.00046716,0.37443
0.069987,0.12497,0.00046653,0.37447
0.079985,0.12496,0.0004661,0.37452
0.089984,0.12496,0.00046578,0.37457
0.099982,0.12495,0.00046549,0.37463
0.10998,0.12495,0.00046515,0.3747
0.11998,0.12494,0.00046465,0.37477
0.12998,0.12494,0.00046393,0.37486
0.13997,0.12493,0.00046298,0.37495
0.14997,0.12493,0.00046182,0.37505
0.15997,0.12492,0.00046052,0.37516
0.16997,0.12492,0.00045914,0.37527
0.17997,0.12492,0.00045777,0.3754
0.18997,0.12491,0.00045644,0.37553
0.19996,0.12491,0.00045518,0.37567
0.20996,0.1249,0.00045398,0.37581
0.21996,0.1249,0.00045281,0.37597
0.22996,0.12489,0.00045166,0.37613
0.23996,0.12489,0.00045052,0.3763
0.24995,0.12488,0.00044939,0.37648
0.25995,0.12488,0.00044827,0.37667
0.26995,0.12487,0.00044719,0.37687
0.27995,0.12487,0.00044618,0.37707
0.28995,0.12487,0.00044524,0.37728
0.29995,0.12486,0.00044442,0.3775
0.30994,0.12486,0.00044372,0.37773
0.31994,0.12485,0.00044319,0.37797
0.32994,0.12485,0.00044284,0.37821
0.33994,0.12484,0.00044268,0.37846
0.34994,0.12484,0.0004427,0.37872
0.35993,0.12483,0.0004429,0.37899
0.36993,0.12483,0.00044324,0.37927
0.37993,0.12483,0.00044368,0.37955
0.38993,0.12482,0.00044419,0.37985
0.39993,0.12482,0.00044474,0.38015
0.40993,0.12481,0.0004453,0.38046
0.41992,0.12481,0.00044584,0.38078
0.42992,0.1248,0.00044635,0.3811
0.43992,0.1248,0.00044679,0.38144
0.44992,0.12479,0.00044714,0.38178
0.45992,0.12479,0.00044737,0.38213
0.46991,0.12479,0.00044743,0.38249
0.47991,0.12478,0.00044733,0.38286
0.48991,0.12478,0.00044706,0.38323
0.49991,0.12477,0.00044665,0.38362
0.50991,0.12477,0.00044617,0.38401
0.51991,0.12476,0.0004457,0.38441
0.5299,0.12476,0.00044531,0.38483
0.5399,0.12475,0.00044508,0.38525
0.5499,0.12475,0.00044505,0.38567
0.5599,0.12475,0.00044523,0.38611
0.5699,0.12474,0.00044561,0.38656
0.57989,0.12474,0.00044614,0.38701
0.58989,0.12473,0.00044678,0.38748
0.59989,0.12473,0.00044749,0.38795
0.60989,0.12472,0.00044822,0.38843
0.61989,0.12472,0.00044894,0.38892
0.62989,0.12471,0.00044962,0.38942
0.63988,0.12471,0.00045025,0.38993
0.64988,0.12471,0.00045079,0.39044
0.65988,0.1247,0.00045121,0.39097
0.66988,0.1247,0.00045147,0.3915
0.67988,0.12469,0.00045155,0.39205
0.68987,0.12469,0.00045143,0.3926
0.69987,0.12468,0.00045111,0.39316
0.70987,0.12468,0.00045064,0.39373
0.71987,0.12467,0.00045007,0.39432
0.72987,0.12467,0.00044947,0.39491
0.73986,0.12466,0.0004489,0.39551
0.74986,0.12466,0.00044846,0.39612
0.75986,0.12466,0.00044818,0.39673
0.76986,0.12465,0.00044811,0.39736
0.77986,0.12465,0.00044828,0.398
0.78986,0.12464,0.00044865,0.39865
0.79985,0.12464,0.00044922,0.39931
0.80985,0.12463,0.00045003,0.39997
0.81985,0.12463,0.00045101,0.40065
0.82985,0.12462,0.00045213,0.40134
0.83985,0.12462,0.00045333,0.40203
0.84984,0.12461,0.0004546,0.40274
0.85984,0.12461,0.00045589,0.40345
0.86984,0.12461,0.0004572,0.40418
0.87984,0.1246,0.0004585,0.40491
0.88984,0.1246,0.00045971,0.40566
0.89984,0.12459,0.00046085,0.40642
0.90983,0.12459,0.00046185,0.40718
0.91983,0.12458,0.00046277,0.40796
0.92983,0.12458,0.00046368,0.40874
0.93983,0.12457,0.00046457,0.40954
0.94983,0.12457,0.00046547,0.41035
0.95982,0.12456,0.00046643,0.41116
0.96982,0.12456,0.00046747,0.41199
0.97982,0.12455,0.00046864,0.41283
0.98982,0.12455,0.00046997,0.41368
0.99982,0.12455,0.00047146,0.41454
1.0098,0.12454,0.0004731,0.41541
1.0198,0.12454,0.00047488,0.41629
1.0298,0.12453,0.00047674,0.41718
1.0398,0.12453,0.00047864,0.41808
1.0498,0.12452,0.00048053,0.419
1.0598,0.12452,0.00048235,0.41992
1.0698,0.12451,0.00048406,0.42086
1.0798,0.12451,0.00048561,0.4218
1.0898,0.1245,0.00048698,0.42276
1.0998,0.1245,0.00048812,0.42373
1.1098,0.12449,0.00048904,0.42471
1.1198,0.12449,0.00048971,0.4257
1.1298,0.12448,0.00049016,0.4267
1.1398,0.12448,0.00049042,0.42771
1.1498,0.12447,0.00049054,0.42874
1.1598,0.12447,0.00049058,0.42978
1.1698,0.12446,0.00049064,0.43082
1.1798,0.12446,0.00049079,0.43188
1.1898,0.12445,0.00049113,0.43296
1.1998,0.12445,0.00049171,0.43404
1.2098,0.12444,0.0004926,0.43513
1.2198,0.12444,0.00049382,0.43624
1.2298,0.12443,0.00049536,0.43736
1.2398,0.12443,0.00049723,0.43849
1.2498,0.12442,0.00049937,0.43964
1.2598,0.12442,0.00050173,0.44079
1.2698,0.12441,0.00050425,0.44196
1.2798,0.12441,0.00050687,0.44314
1.2898,0.1244,0.00050951,0.44433
1.2998,0.1244,0.0005121,0.44553
1.3098,0.12439,0.0005146,0.44675
1.3198,0.12439,0.00051695,0.44798
1.3298,0.12438,0.00051912,0.44922
1.3398,0.12438,0.00052111,0.45048
1.3498,0.12437,0.00052291,0.45174
1.3598,0.12437,0.00052454,0.45302
1.3697,0.12436,0.00052606,0.45432
1.3797,0.12436,0.00052749,0.45562
1.3897,0.12435,0.00052889,0.45694
1.3997,0.12435,0.00053033,0.45827
1.4097,0.12434,0.00053185,0.45962
1.4197,0.12434,0.00053349,0.46098
1.4297,0.12433,0.0005353,0.46235
1.4397,0.12432,0.00053729,0.46373
1.4497,0.12432,0.00053947,0.46513
1.4597,0.12431,0.00054182,0.46654
1.4697,0.12431,0.00054431,0.46797
1.4797,0.1243,0.0005469,0.46941
1.4897,0.1243,0.00054955,0.47086
1.4997,0.12429,0.00055221,0.47233
1.5097,0.12429,0.00055484,0.47381
1.5197,0.12428,0.0005574,0.4753
1.5297,0.12428,0.00055987,0.47681
1.5397,0.12427,0.00056222,0.47833
1.5497,0.12426,0.00056443,0.47987
1.5597,0.12426,0.00056651,0.48142
1.5697,0.12425,0.00056846,0.48298
1.5797,0.12425,0.00057028,0.48456
1.5897,0.12424,0.00057199,0.48616
1.5997,0.12424,0.00057363,0.48777
1.6097,0.12423,0.00057522,0.48939
1.6197,0.12422,0.00057681,0.49103
1.6297,0.12422,0.00057843,0.49268
1.6397,0.12421,0.00058014,0.49435
1.6497,0.12421,0.00058196,0.49603
1.6597,0.1242,0.00058392,0.49772
1.6697,0.1242,0.00058604,0.49944
1.6797,0.12419,0.00058834,0.50116
1.6897,0.12418,0.0005908,0.50291
1.6997,0.12418,0.00059342,0.50466
1.7097,0.12417,0.00059618,0.50644
1.7197,0.12417,0.00059907,0.50823
1.7297,0.12416,0.00060204,0.51003
1.7397,0.12415,0.00060509,0.51185
1.7497,0.12415,0.00060817,0.51369
1.7597,0.12414,0.00061126,0.51554
1.7697,0.12414,0.00061432,0.51741
1.7797,0.12413,0.00061732,0.51929
1.7897,0.12412,0.00062025,0.52119
1.7997,0.12412,0.00062307,0.5231
1.8097,0.12411,0.0006258,0.52503
1.8197,0.1241,0.00062843,0.52698
1.8297,0.1241,0.00063099,0.52895
1.8397,0.12409,0.00063349,0.53093
1.8497,0.12409,0.00063598,0.53292
1.8597,0.12408,0.00063851,0.53494
1.8697,0.12407,0.0006411,0.53697
1.8797,0.12407,0.00064381,0.53902
1.8897,0.12406,0.00064665,0.54108
1.8997,0.12405,0.00064964,0.54316
1.9097,0.12405,0.00065278,0.54526
1.9196,0.12404,0.00065607,0.54737
1.9296,0.12403,0.00065948,0.54951
1.9396,0.12403,0.00066299,0.55166
1.9496,0.12402,0.00066656,0.55382
1.9596,0.12401,0.00067015,0.55601
1.9696,0.12401,0.00067371,0.55821
1.9796,0.124,0.0006772,0.56043
1.9896,0.12399,0.00068059,0.56267
1.9996,0.12399,0.00068383,0.56492
2.0096,0.12398,0.00068691,0.56719
2.0196,0.12397,0.00068983,0.56949
2.0296,0.12397,0.00069258,0.57179
2.0396,0.12396,0.00069519,0.57412
2.0496,0.12395,0.00069769,0.57647
2.0596,0.12395,0.00070014,0.57883
2.0696,0.12394,0.00070257,0.58121
2.0796,0.12393,0.00070505,0.58361
2.0896,0.12392,0.00070763,0.58603
2.0996,0.12392,0.00071035,0.58847
2.1096,0.12391,0.00071325,0.59093
2.1196,0.1239,0.00071634,0.5934
2.1296,0.1239,0.00071963,0.5959
2.1396,0.12389,0.00072312,0.59841
2.1496,0.12388,0.00072679,0.60094
2.1596,0.12387,0.00073062,0.6035
2.1696,0.12387,0.00073456,0.60607
2.1796,0.12386,0.0007386,0.60866
2.1896,0.12385,0.00074267,0.61127
2.1996,0.12384,0.00074676,0.6139
2.2096,0.12384,0.00075082,0.61655
2.2196,0.12383,0.00075482,0.61922
2.2296,0.12382,0.00075876,0.62191
2.2396,0.12381,0.00076262,0.62461
2.2496,0.12381,0.0007664,0.62734
2.2596,0.1238,0.00077012,0.63009
2.2696,0.12379,0.0007738,0.63286
2.2796,0.12378,0.00077746,0.63565
2.2896,0.12378,0.00078114,0.63846
2.2996,0.12377,0.00078487,0.64129
2.3096,0.12376,0.00078866,0.64414
2.3196,0.12375,0.00079255,0.64701
2.3296,0.12374,0.00079652,0.6499
2.3396,0.12374,0.00080058,0.65282
2.3496,0.12373,0.00080473,0.65575
2.3596,0.12372,0.00080892,0.65871
2.3696,0.12371,0.00081316,0.66168
2.3796,0.1237,0.00081739,0.66468
2.3896,0.1237,0.00082161,0.6677
2.3996,0.12369,0.00082578,0.67074
2.4096,0.12368,0.00082989,0.6738
2.4196,0.12367,0.00083392,0.67688
2.4296,0.12366,0.00083787,0.67999
2.4396,0.12365,0.00084174,0.68311
2.4496,0.12365,0.00084554,0.68626
2.4596,0.12364,0.0008493,0.68943
2.4695,0.12363,0.00085304,0.69263
2.4795,0.12362,0.0008568,0.69584
2.4895,0.12361,0.00086061,0.69908
2.4995,0.1236,0.00086451,0.70234
2.5095,0.12359,0.00086853,0.70562
2.5195,0.12359,0.00087268,0.70893
2.5295,0.12358,0.00087699,0.71225
2.5395,0.12357,0.00088145,0.7156
2.5495,0.12356,0.00088607,0.71898
2.5595,0.12355,0.00089083,0.72237
2.5695,0.12354,0.0008957,0.72579
2.5795,0.12353,0.00090065,0.72923
2.5895,0.12352,0.00090565,0.7327
2.5995,0.12351,0.00091068,0.73619
2.6095,0.1235,0.00091569,0.7397
2.6195,0.1235,0.00092067,0.74324
2.6295,0.12349,0.00092559,0.7468
2.6395,0.12348,0.00093045,0.75038
2.6495,0.12347,0.00093524,0.75399
2.6595,0.12346,0.00093997,0.75762
2.6695,0.12345,0.00094465,0.76127
2.6795,0.12344,0.00094931,0.76496
2.6895,0.12343,0.00095396,0.76866
2.6995,0.12342,0.00095864,0.77239
2.7095,0.12341,0.00096338,0.77614
2.7195,0.1234,0.0009682,0.77992
2.7295,0.12339,0.00097312,0.78373
2.7395,0.12338,0.00097817,0.78756
2.7495,0.12337,0.00098333,0.79141
2.7595,0.12336,0.00098862,0.79529
2.7695,0.12335,0.00099402,0.7992
2.7795,0.12334,0.00099952,0.80313
2.7895,0.12333,0.0010051,0.80709
2.7995,0.12332,0.0010107,0.81107
2.8095,0.12331,0.0010163,0.81508
2.8195,0.1233,0.0010219,0.81911
2.8295,0.12329,0.0010274,0.82318
2.8395,0.12328,0.0010329,0.82727
2.8495,0.12327,0.0010384,0.83138
2.8595,0.12326,0.0010437,0.83552
2.8695,0.12325,0.001049,0.83969
2.8795,0.12324,0.0010542,0.84389
2.8895,0.12323,0.0010594,0.84812
2.8995,0.12322,0.0010645,0.85237
2.9095,0.12321,0.0010697,0.85665
2.9195,0.1232,0.0010749,0.86096
2.9295,0.12319,0.0010802,0.86529
2.9395,0.12318,0.0010855,0.86966
2.9495,0.12316,0.0010911,0.87405
2.9595,0.12315,0.0010967,0.87848
2.9695,0.12314,0.0011025,0.88293
2.9795,0.12313,0.0011085,0.88741
2.9895,0.12312,0.0011146,0.89192
2.9995,0.12311,0.0011208,0.89646
3.0095,0.1231,0.0011272,0.90103
3.0194,0.12309,0.0011336,0.90564
3.0294,0.12308,0.0011401,0.91027
3.0394,0.12306,0.0011467,0.91493
3.0494,0.12305,0.0011532,0.91963
3.0594,0.12304,0.0011597,0.92436
3.0694,0.12303,0.0011662,0.92911
3.0794,0.12302,0.0011727,0.93391
3.0894,0.12301,0.0011792,0.93873
3.0994,0.12299,0.0011856,0.94359
3.1094,0.12298,0.001192,0.94848
3.1194,0.12297,0.0011983,0.9534
3.1294,0.12296,0.0012047,0.95836
3.1394,0.12295,0.0012112,0.96335
3.1494,0.12293,0.0012177,0.96838
3.1594,0.12292,0.0012243,0.97344
3.1694,0.12291,0.001231,0.97854
3.1794,0.1229,0.0012378,0.98368
3.1894,0.12288,0.0012447,0.98885
3.1994,0.12287,0.0012518,0.99406
3.2094,0.12286,0.001259,0.9993
3.2194,0.12285,0.0012662,1.0046
3.2294,0.12283,0.0012736,1.0099
3.2394,0.12282,0.001281,1.0153
3.2494,0.12281,0.0012884,1.0207
3.2594,0.1228,0.0012958,1.0261
3.2694,0.12278,0.0013032,1.0316
3.2794,0.12277,0.0013106,1.0371
3.2894,0.12276,0.001318,1.0427
3.2994,0.12274,0.0013254,1.0483
3.3094,0.12273,0.0013328,1.054
3.3194,0.12272,0.0013401,1.0597
3.3294,0.1227,0.0013475,1.0654
3.3394,0.12269,0.001355,1.0712
3.3494,0.12268,0.0013625,1.077
3.3594,0.12266,0.0013701,1.0829
3.3694,0.12265,0.0013779,1.0888
3.3794,0.12263,0.0013858,1.0948
3.3894,0.12262,0.0013939,1.1008
3.3994,0.12261,0.0014021,1.1069
3.4094,0.12259,0.0014105,1.113
3.4194,0.12258,0.0014191,1.1192
3.4294,0.12256,0.0014278,1.1255
3.4394,0.12255,0.0014366,1.1317
3.4494,0.12254,0.0014456,1.1381
3.4594,0.12252,0.0014547,1.1445
3.4694,0.12251,0.0014639,1.1509
3.4794,0.12249,0.0014731,1.1575
3.4894,0.12248,0.0014824,1.164
3.4994,0.12246,0.0014918,1.1707
3.5094,0.12245,0.0015012,1.1773
3.5194,0.12243,0.0015107,1.1841
3.5294,0.12242,0.0015202,1.1909
3.5394,0.1224,0.0015297,1.1978
3.5494,0.12239,0.0015394,1.2048
3.5594,0.12237,0.0015491,1.2118
3.5693,0.12236,0.0015589,1.2189
3.5793,0.12234,0.0015688,1.226
3.5893,0.12232,0.0015788,1.2332
3.5993,0.12231,0.001589,1.2405
3.6093,0.12229,0.0015993,1.2479
3.6193,0.12228,0.0016098,1.2553
3.6293,0.12226,0.0016204,1.2629
3.6393,0.12224,0.0016312,1.2705
3.6493,0.12223,0.0016422,1.2781
3.6593,0.12221,0.0016533,1.2859
3.6693,0.12219,0.0016646,1.2937
3.6793,0.12218,0.0016761,1.3016
3.6893,0.12216,0.0016877,1.3096
3.6993,0.12214,0.0016995,1.3177
3.7093,0.12213,0.0017115,1.3259
3.7193,0.12211,0.0017236,1.3341
3.7293,0.12209,0.0017359,1.3425
3.7393,0.12208,0.0017483,1.3509
3.7493,0.12206,0.0017608,1.3594
3.7593,0.12204,0.0017735,1.368
3.7693,0.12202,0.0017863,1.3767
3.7793,0.122,0.0017993,1.3855
3.7893,0.12199,0.0018125,1.3944
3.7993,0.12197,0.0018259,1.4034
3.8093,0.12195,0.0018395,1.4125
3.8193,0.12193,0.0018533,1.4216
3.8293,0.12191,0.0018673,1.4309
3.8393,0.12189,0.0018815,1.4403
3.8493,0.12188,0.001896,1.4497
3.8593,0.12186,0.0019108,1.4593
3.8693,0.12184,0.0019258,1.469
3.8793,0.12182,0.001941,1.4787
3.8893,0.1218,0.0019565,1.4886
3.8993,0.12178,0.0019722,1.4986
3.9093,0.12176,0.0019881,1.5087
3.9193,0.12174,0.0020043,1.5188
3.9293,0.12172,0.0020207,1.5291
3.9393,0.1217,0.0020373,1.5395
