n,t,dt,action,error
0,0.0,1e-05,accept,0.013557886463333174
1,1e-05,1.4925268341278441e-05,accept,0.055467683313298946
2,2.492526834127844e-05,1.448993411281235e-05,accept,0.03808216530693207
3,3.941520245409079e-05,1.3742823334966946e-05,accept,0.024109103059807912
4,5.315802578905774e-05,1.3388301052453106e-05,accept,0.017234602824718587
5,6.654632684151084e-05,1.3051675921164562e-05,accept,0.012454445305801084
6,7.95980027626754e-05,1.2875270628301118e-05,accept,0.009503663075187345
7,9.247327339097652e-05,1.276618738254133e-05,accept,0.007434150328113802
8,0.00010523946077351785,1.2749736694167213e-05,accept,0.006004373343149945
9,0.00011798919746768506,1.2799490391094481e-05,accept,0.004959550411397222
10,0.00013078868785877955,1.2917623968583459e-05,accept,0.004187080161028205
11,0.000143706311827363,1.3095344640867324e-05,accept,0.0035982152511651842
12,0.00015680165646823034,1.3331375714904702e-05,accept,0.0031420645244916983
13,0.00017013303218313506,1.3622534469912241e-05,accept,0.0027817616769599345
14,0.00018375556665304728,1.3967835110062952e-05,accept,0.0024933873243344136
15,0.00019772340176311024,1.4366076169890036e-05,accept,0.0022599005143449998
16,0.00021208947793300027,1.4816585233584289e-05,accept,0.00206966309303792
17,0.00022690606316658457,1.531835180318414e-05,accept,0.0019144881308201086
18,0.0002422244149697687,1.5869887635883002e-05,accept,0.001788758622969771
19,0.0002580943026056517,1.6468701870210032e-05,accept,0.0016885778500343074
20,0.0002745630044758617,1.7111052729596462e-05,accept,0.001611152808785133
21,0.00029167405720545816,1.7791870326271768e-05,accept,0.0015542080983011336
22,0.00030946592753172995,1.8505129099113933e-05,accept,0.001515507423866816
23,0.0003279710566308439,1.924463368912018e-05,accept,0.0014925816448625108
24,0.00034721569031996406,2.0004937970841686e-05,accept,0.001482747548045158
25,0.00036722062829080575,2.078193346813108e-05,accept,0.0014834187417109548
26,0.0003880025617589368,2.157271217937849e-05,accept,0.0014927231966988558
27,0.0004095752739383153,2.2374350406399524e-05,accept,0.0015100048326421216
28,0.0004319496243447148,2.318229286323625e-05,accept,0.0015362966003089978
29,0.0004551319172079511,2.398834108331461e-05,accept,0.0015742481935925997
30,0.0004791202582912657,2.4779610184710838e-05,accept,0.001627523769025526
31,0.0005038998684759765,2.5539105324558754e-05,accept,0.0016992947752299137
32,0.0005294389738005352,2.6249260455959404e-05,accept,0.0017901887850430022
33,0.0005556882342564947,2.6897687543525216e-05,accept,0.0018970357776069197
34,0.0005825859218000198,2.7481368650357433e-05,accept,0.0020129688777724146
35,0.0006100672904503772,2.800721343482497e-05,accept,0.0021293709057046742
36,0.0006380745038852022,2.8488287174544618e-05,accept,0.0022379942022628034
37,0.0006665627910597468,2.8939642706420438e-05,accept,0.002332629191030406
38,0.0006955024337661673,2.9375192077425348e-05,accept,0.002410127466392905
39,0.0007248776258435926,2.980565700637272e-05,accept,0.0024701905393928057
40,0.0007546832828499654,3.0238272177841765e-05,accept,0.00251517954656002
41,0.0007849215550278072,3.067617118072826e-05,accept,0.0025493838918895975
42,0.0008155977262085354,3.111843692959707e-05,accept,0.0025779067865914686
43,0.0008467161631381325,3.156092446749373e-05,accept,0.00260573805257886
44,0.0008782770876056262,3.199726074634913e-05,accept,0.0026366144219097678
45,0.0009102743483519754,3.242080218118854e-05,accept,0.0026733383886660845
46,0.000942695150533164,3.282470397766585e-05,accept,0.0027172025110361606
47,0.0009755198545108298,3.320349326734064e-05,accept,0.002767532884888001
48,0.0010087233477781704,3.355468147089012e-05,accept,0.0028228341852853775
49,0.0010422780292490604,3.387766522347523e-05,accept,0.002881043952283373
50,0.0010761556944725355,3.417359668027419e-05,accept,0.0029411509050868367
51,0.0011103292911528097,3.444279641871089e-05,accept,0.003003558905936702
52,0.0011447720875715206,3.4683703643047216e-05,accept,0.0030698045053767086
53,0.0011794557912145679,3.4892830082893397e-05,accept,0.003141296009292954
54,0.0012143486212974613,3.506646786777115e-05,accept,0.003217696788550264
55,0.0012494150891652323,3.520338283501813e-05,accept,0.0032947624706282782
56,0.0012846184720002505,3.5308732431714164e-05,accept,0.0033651906744202277
57,0.0013199272044319647,3.539380406126141e-05,accept,0.0034203445865759923
58,0.0013553210084932261,3.547424126688351e-05,accept,0.003451813884082885
59,0.0013907952497601097,3.5568337726239724e-05,accept,0.003454767553970153
60,0.0014263635874863494,3.569256831021657e-05,accept,0.0034301469319700777
61,0.001462056155796566,3.5857616558873386e-05,accept,0.0033862009676676685
62,0.0014979137723554394,3.606375101598966e-05,accept,0.003340341821903958
63,0.001533977523371429,3.629368265280803e-05,accept,0.0033196482739765577
64,0.001570271206024237,3.650570330330408e-05,accept,0.003351421092698861
65,0.001606776909327541,3.66443623972478e-05,accept,0.0034471061214906094
66,0.0016434212717247889,3.6670368698028284e-05,accept,0.0035905400641813947
67,0.001680091640422817,3.6588098070899914e-05,accept,0.003744482757437782
68,0.001716679738493717,3.644011861784719e-05,accept,0.0038723070708444694
69,0.001753119857111564,3.627607509316681e-05,accept,0.0039503547038262045
70,0.0017893959322047308,3.613556700406281e-05,accept,0.003972527869739042
71,0.0018255314992087937,3.604183899153603e-05,accept,0.004173310976484646
72,0.0018615733382003298,3.5713239878642844e-05,accept,0.004138224603984779
73,0.0018972865780789727,3.561489578464818e-05,accept,0.0037093290532021405
74,0.001932901473863621,3.6052826089399766e-05,accept,0.0038574500251542967
75,0.001968954299953021,3.58749883605245e-05,accept,0.0038186210714185936
76,0.0020048292883135454,3.589771756590187e-05,accept,0.003765200611520164
77,0.002040727005879447,3.595569891832018e-05,accept,0.003115929680692054
78,0.0020766827047977673,3.696113217143614e-05,accept,0.003372215802866462
79,0.0021136438369692033,3.682258121838869e-05,accept,0.003180258347844352
80,0.002150466418187592,3.730596515794096e-05,accept,0.003222776362947925
81,0.002187772383345533,3.7491554240638434e-05,accept,0.0031771306199262434
82,0.0022252639375861714,3.78087669855246e-05,accept,0.0032827968700985728
83,0.0022630727045716958,3.789141313041167e-05,accept,0.0031941728154026897
84,0.0023009641177021076,3.825643006884554e-05,accept,0.0032252534153808686
85,0.002339220547770953,3.846009065908587e-05,accept,0.0032168730167379555
86,0.002377680638430039,3.871877211723245e-05,accept,0.0032397573928709613
87,0.0024163994105472716,3.892851288869363e-05,accept,0.0032563531055875635
88,0.002455327923435965,3.913952453704055e-05,accept,0.0032531460691406842
89,0.0024944674479730057,3.9378423238984835e-05,accept,0.0032588908984470953
90,0.0025338458712119904,3.960454785809927e-05,accept,0.003258817271055912
91,0.0025734504190700895,3.9839481397898116e-05,accept,0.0032608674235905665
92,0.0026132899004679875,4.007205906420057e-05,accept,0.0032635557016238467
93,0.002653361959532188,4.030384003425601e-05,accept,0.003268958563426745
94,0.002693665799566444,4.053074683360142e-05,accept,0.0032768925709187663
95,0.0027341965464000454,4.075168422205782e-05,accept,0.0032914869599009644
96,0.002774948230622103,4.0957856550867216e-05,accept,0.0033009103539171276
97,0.00281590608717297,4.1167215357858385e-05,accept,0.0033182685787426815
98,0.0028570733025308284,4.1358601724375594e-05,accept,0.003338481014606343
99,0.002898431904255204,4.153717473927898e-05,accept,0.003366253784688309
100,0.002939969078994483,4.169301310511871e-05,accept,0.003399187268790223
101,0.0029816620920996018,4.182676734637123e-05,accept,0.0034468628855728717
102,0.003023488859445973,4.191912329593959e-05,accept,0.0035029702954735378
103,0.0030654079827419126,4.1974778499274785e-05,accept,0.0035640199887632747
104,0.0031073827612411874,4.1996481731074325e-05,accept,0.0036175656598442206
105,0.0031493792429722616,4.200357236046076e-05,accept,0.0036529927753740517
106,0.0031913828153327223,4.20170794291438e-05,accept,0.0036626779339359494
107,0.0032333998947618662,4.205747136718789e-05,accept,0.0036433126781369005
108,0.003275457366129054,4.214198879073045e-05,accept,0.003602955704464417
109,0.0033175993549197846,4.227139664746293e-05,accept,0.003555443411710395
110,0.0033598707515672477,4.243323810382389e-05,accept,0.003527720992485413
111,0.0034023039896710714,4.258467566841058e-05,accept,0.0035440145735283605
112,0.003444888665339482,4.26730198405913e-05,accept,0.0036168883675896523
113,0.0034875616851800734,4.265616443088903e-05,accept,0.003732647514761057
114,0.0035302178496109623,4.253579093470155e-05,accept,0.0038585779329786637
