n,t,dt,action,error
0,0.0,1e-05,accept,0.01355790690458548
1,1e-05,9.91928468175228e-06,accept,0.011003556991122083
2,1.9919284681752283e-05,6.467150258350124e-06,accept,0.0016911401779773894
3,2.638643494010241e-05,4.534686498035619e-06,accept,0.00036777988752427276
4,3.0921121438138026e-05,2.84561287268334e-06,accept,5.3027451930005604e-05
5,3.3766734310821365e-05,1.6888829969693373e-06,accept,6.288537682249207e-06
6,3.5455617307790705e-05,9.187812905111814e-07,accept,5.363768089788891e-07
7,3.637439859830189e-05,4.5675530171210374e-07,accept,3.229578951087297e-08
8,3.683115390001399e-05,2.0429761092265802e-07,accept,1.2835387045481398e-09
9,3.7035451510936644e-05,8.106761888044436e-08,accept,3.17241704698507e-11
10,3.711651912981709e-05,2.8035531071272158e-08,accept,4.531699731916927e-13
11,3.714455466088836e-05,8.410659321381647e-09,accept,3.828436636079622e-15
12,3.715296532020974e-05,2.523197796414494e-09,accept,3.3163562850380484e-16
13,3.715548851800615e-05,7.569593389243482e-10,accept,9.44773379974215e-17
14,3.715624547734508e-05,2.2708780167730443e-10,accept,2.6944812113857156e-17
15,3.715647256514675e-05,6.812634050319133e-11,accept,7.646914976207562e-18
16,3.715654069148726e-05,2.04379021509574e-11,accept,2.165279397160175e-18
17,3.715656112938941e-05,6.1313706452872196e-12,accept,6.118974850158651e-19
18,3.7156567260760054e-05,1.839411193586166e-12,accept,1.7185584521789673e-19
19,3.7156569100171246e-05,1e-12,accept,9.053346417029362e-20
20,3.715657010017125e-05,1e-12,accept,9.043750828902744e-20
21,3.715657110017125e-05,1e-12,accept,9.02954482424652e-20
22,3.7156572100171254e-05,1e-12,accept,9.050833666379236e-20
23,3.715657310017126e-05,1e-12,accept,9.034007909559008e-20
24,3.715657410017126e-05,1e-12,accept,9.06235370374869e-20
25,3.715657510017126e-05,1e-12,accept,9.036349640035454e-20
26,3.7156576100171265e-05,1e-12,accept,9.044104714427099e-20
27,3.715657710017127e-05,1e-12,accept,9.048681617260352e-20
28,3.715657810017127e-05,1e-12,accept,9.048493103411337e-20
29,3.7156579100171274e-05,1e-12,accept,9.031499661943847e-20
30,3.7156580100171276e-05,1e-12,accept,9.053254941172649e-20
31,3.715658110017128e-05,1e-12,accept,9.040412769565116e-20
32,3.715658210017128e-05,1e-12,accept,9.055564575142767e-20
33,3.7156583100171285e-05,1e-12,accept,9.048929308572557e-20
34,3.715658410017129e-05,1e-12,accept,9.048189887054798e-20
35,3.715658510017129e-05,1e-12,accept,9.06207634904076e-20
36,3.715658610017129e-05,1e-12,accept,9.047808632163141e-20
37,3.7156587100171296e-05,1e-12,accept,9.043943750098449e-20
38,3.71565881001713e-05,1e-12,accept,9.03518528537732e-20
39,3.71565891001713e-05,1e-12,accept,9.051949984419068e-20
40,3.7156590100171304e-05,1e-12,accept,9.041062707586181e-20
41,3.715659110017131e-05,1e-12,accept,9.05369616283174e-20
42,3.715659210017131e-05,1e-12,accept,9.042413233229251e-20
43,3.715659310017131e-05,1e-12,accept,9.055780689911082e-20
44,3.7156594100171315e-05,1e-12,accept,9.045260051953943e-20
45,3.715659510017132e-05,1e-12,accept,9.040388319299448e-20
46,3.715659610017132e-05,1e-12,accept,9.043920261608253e-20
47,3.7156597100171324e-05,1e-12,accept,9.048593996099297e-20
48,3.7156598100171326e-05,1e-12,accept,9.04747049324376e-20
49,3.715659910017133e-05,1e-12,accept,9.05962322844804e-20
50,3.715660010017133e-05,1e-12,accept,9.044572272427667e-20
51,3.7156601100171335e-05,1e-12,accept,9.053431325860156e-20
52,3.715660210017134e-05,1e-12,accept,9.052170293524855e-20
53,3.715660310017134e-05,1e-12,accept,9.048591836822152e-20
54,3.715660410017134e-05,1e-12,accept,9.056917530265331e-20
55,3.7156605100171346e-05,1e-12,accept,9.057602428705995e-20
56,3.715660610017135e-05,1e-12,accept,9.048574673615033e-20
57,3.715660710017135e-05,1e-12,accept,9.044064115416784e-20
58,3.7156608100171354e-05,1e-12,accept,9.04416824120247e-20
59,3.715660910017136e-05,1e-12,accept,9.048099133435025e-20
60,3.715661010017136e-05,1e-12,accept,9.046049389055484e-20
61,3.715661110017136e-05,1e-12,accept,9.047408404907842e-20
62,3.7156612100171365e-05,1e-12,accept,9.065263825059998e-20
63,3.715661310017137e-05,1e-12,accept,9.05871585590216e-20
64,3.715661410017137e-05,1e-12,accept,9.049597797090108e-20
65,3.7156615100171374e-05,1e-12,accept,9.057141232717803e-20
66,3.7156616100171376e-05,1e-12,accept,9.044451340931068e-20
67,3.715661710017138e-05,1e-12,accept,9.067987246227358e-20
68,3.715661810017138e-05,1e-12,accept,9.041409543354041e-20
69,3.7156619100171385e-05,1e-12,accept,9.052347306449231e-20
70,3.715662010017139e-05,1e-12,accept,9.042957530405988e-20
71,3.715662110017139e-05,1e-12,accept,9.044927198341233e-20
72,3.715662210017139e-05,1e-12,accept,9.042551244785867e-20
73,3.7156623100171396e-05,1e-12,accept,9.061648572779666e-20
74,3.71566241001714e-05,1e-12,accept,9.055786265315415e-20
75,3.71566251001714e-05,1e-12,accept,9.045984261721032e-20
76,3.7156626100171404e-05,1e-12,accept,9.041782292942895e-20
77,3.715662710017141e-05,1e-12,accept,9.050307536986928e-20
78,3.715662810017141e-05,1e-12,accept,9.049910438712703e-20
79,3.715662910017141e-05,1e-12,accept,9.041923887193726e-20
80,3.7156630100171415e-05,1e-12,accept,9.042437808021356e-20
81,3.715663110017142e-05,1e-12,accept,9.052678800790543e-20
82,3.715663210017142e-05,1e-12,accept,9.055191508099087e-20
83,3.7156633100171424e-05,1e-12,accept,9.053107038250992e-20
84,3.7156634100171427e-05,1e-12,accept,9.036953284348783e-20
85,3.715663510017143e-05,1e-12,accept,9.055341419967055e-20
86,3.715663610017143e-05,1e-12,accept,9.033554506713192e-20
87,3.7156637100171435e-05,1e-12,accept,9.042176225538707e-20
88,3.715663810017144e-05,1e-12,accept,9.047066328530843e-20
89,3.715663910017144e-05,1e-12,accept,9.057985547343523e-20
90,3.715664010017144e-05,1e-12,accept,9.054410074190035e-20
91,3.7156641100171446e-05,1e-12,accept,9.042778837509733e-20
92,3.715664210017145e-05,1e-12,accept,9.069321573486649e-20
93,3.715664310017145e-05,1e-12,accept,9.0461195312945e-20
94,3.7156644100171454e-05,1e-12,accept,9.063406589967369e-20
95,3.715664510017146e-05,1e-12,accept,9.041038886641571e-20
96,3.715664610017146e-05,1e-12,accept,9.060595233704508e-20
97,3.715664710017146e-05,1e-12,accept,9.053496035806509e-20
98,3.7156648100171465e-05,1e-12,accept,9.051476683042046e-20
99,3.715664910017147e-05,1e-12,accept,9.046738490053332e-20
100,3.715665010017147e-05,1e-12,accept,9.043924560422183e-20
101,3.7156651100171474e-05,1e-12,accept,9.045646143206857e-20
102,3.7156652100171477e-05,1e-12,accept,9.044499369755087e-20
103,3.715665310017148e-05,1e-12,accept,9.049537889466238e-20
104,3.715665410017148e-05,1e-12,accept,9.038034967728436e-20
105,3.7156655100171485e-05,1e-12,accept,9.04680928029792e-20
106,3.715665610017149e-05,1e-12,accept,9.043515905316577e-20
107,3.715665710017149e-05,1e-12,accept,9.047009400340334e-20
108,3.715665810017149e-05,1e-12,accept,9.038513999132258e-20
109,3.7156659100171496e-05,1e-12,accept,9.046991779549451e-20
110,3.71566601001715e-05,1e-12,accept,9.05128616865973e-20
111,3.71566611001715e-05,1e-12,accept,9.063328061371645e-20
112,3.7156662100171504e-05,1e-12,accept,9.053133663679069e-20
113,3.715666310017151e-05,1e-12,accept,9.042069161125975e-20
114,3.715666410017151e-05,1e-12,accept,9.051085670434876e-20
115,3.715666510017151e-05,1e-12,accept,9.04086448531048e-20
116,3.7156666100171515e-05,1e-12,accept,9.048675977376708e-20
117,3.715666710017152e-05,1e-12,accept,9.061516243004828e-20
118,3.715666810017152e-05,1e-12,accept,9.038858502019988e-20
119,3.7156669100171524e-05,1e-12,accept,9.060011652671825e-20
120,3.7156670100171527e-05,1e-12,accept,9.060010975713229e-20
121,3.715667110017153e-05,1e-12,accept,9.042451831384836e-20
122,3.715667210017153e-05,1e-12,accept,9.054050444932782e-20
123,3.7156673100171535e-05,1e-12,accept,9.050843106666859e-20
124,3.715667410017154e-05,1e-12,accept,9.052173552144065e-20
125,3.715667510017154e-05,1e-12,accept,9.052774353313029e-20
126,3.715667610017154e-05,1e-12,accept,9.056354822772901e-20
127,3.7156677100171546e-05,1e-12,accept,9.05997541476866e-20
128,3.715667810017155e-05,1e-12,accept,9.059783673750508e-20
129,3.715667910017155e-05,1e-12,accept,9.035834002391999e-20
130,3.7156680100171554e-05,1e-12,accept,9.051015219897854e-20
131,3.715668110017156e-05,1e-12,accept,9.050859521348134e-20
132,3.715668210017156e-05,1e-12,accept,9.052546842650883e-20
133,3.715668310017156e-05,1e-12,accept,9.043514408068814e-20
134,3.7156684100171566e-05,1e-12,accept,9.046734057590738e-20
135,3.715668510017157e-05,1e-12,accept,9.055199047070994e-20
136,3.715668610017157e-05,1e-12,accept,9.065887780453056e-20
137,3.7156687100171574e-05,1e-12,accept,9.048667451612609e-20
138,3.715668810017158e-05,1e-12,accept,9.045634708140405e-20
139,3.715668910017158e-05,1e-12,accept,9.04823468453541e-20
140,3.715669010017158e-05,1e-12,accept,9.057753052427261e-20
141,3.7156691100171585e-05,1e-12,accept,9.04620574602087e-20
142,3.715669210017159e-05,1e-12,accept,9.04414392802691e-20
