n,t,dt,action,error
0,0.0,1e-05,accept,0.01355799566284738
1,1e-05,1.8505970533429898e-05,accept,0.12952278442125426
2,2.85059705334299e-05,1.9806112293474646e-05,accept,0.12285636370902939
3,4.831208282690455e-05,2.0458917157904768e-05,accept,0.09972100492576605
4,6.877099998480932e-05,2.1923710519691456e-05,accept,0.09297801304344429
5,9.069471050450077e-05,2.3446547047899908e-05,accept,0.08433585613545212
6,0.00011414125755240067,2.5422895355974364e-05,accept,0.0791403069699541
7,0.00013956415290837504,2.7706288922426896e-05,accept,0.07381517745964648
8,0.00016727044183080194,3.0462095143007504e-05,accept,0.06934175672969208
9,0.00019773253697380944,3.3726143887424154e-05,accept,0.06515350434705071
10,0.00023145868086123358,3.7619534860365104e-05,accept,0.06188271331410655
11,0.0002690782157215987,4.2188367375966226e-05,accept,0.06019729448803926
12,0.0003112665830975649,4.7384128519132876e-05,accept,0.060974813959025986
13,0.00035865071161669777,5.297693313695574e-05,accept,0.06401191102252446
14,0.0004116276447536535,5.87275971295499e-05,accept,0.06840537341910749
15,0.0004703552418832034,6.449992145405071e-05,accept,0.0754004607881534
16,0.0005348551633372541,6.985427814315747e-05,accept,0.08811643608783509
17,0.0006047094414804115,7.392646607515901e-05,accept,0.10347838727762534
18,0.0006786359075555705,7.671380428529846e-05,accept,0.11334036035419207
19,0.000755349711840869,7.915388511025244e-05,accept,0.11675033534117221
20,0.0008345035969511215,8.175714753142871e-05,accept,0.1180967224231613
21,0.0009162607444825502,8.444495298851942e-05,accept,0.1214723323208794
22,0.0010007056974710696,8.681773202658878e-05,accept,0.12733171480821376
23,0.0010875234294976583,8.862813111835785e-05,accept,0.13333802880948892
24,0.0011761515606160161,8.998410194040182e-05,accept,0.14011509643092712
25,0.001266135662556418,9.079517386177808e-05,accept,0.1483546696619358
26,0.001356930836418196,9.093590290240209e-05,accept,0.15104144394181462
27,0.0014478667393205981,9.114843508418475e-05,accept,0.14420319185962746
28,0.0015390151744047828,9.231479573287656e-05,accept,0.13983488468744704
29,0.0016313299701376594,9.373232451957937e-05,accept,0.15639678345116315
30,0.0017250622946572388,9.290222486875902e-05,accept,0.1715798237779688
31,0.0018179645195259978,9.119316223678719e-05,accept,0.16755416047387608
32,0.001909157681762785,9.055802906809976e-05,accept,0.14767978451660588
33,0.0019997157108308846,9.200490585823349e-05,accept,0.1404077626733169
34,0.002091720616689118,9.351015627486687e-05,accept,0.1344848334199399
35,0.002185230772963985,9.547986766288602e-05,accept,0.13363277522270395
36,0.002280710640626871,9.729695772346763e-05,accept,0.1356405213207946
37,0.0023780075983503386,9.881361304847363e-05,accept,0.13719827463721668
38,0.0024768212113988122,0.00010024275368491222,accept,0.13773163956456574
39,0.0025770639650837244,0.00010170271555435544,accept,0.13775052251848593
40,0.0026787666806380797,0.00010321121253703104,accept,0.13872896352034134
41,0.002781977893175111,0.00010459869560945523,accept,0.14050785523217627
42,0.002886576588784566,0.00010579793070435572,accept,0.14290203117381478
43,0.0029923745194889214,0.00010676089782996799,accept,0.14820571018627515
44,0.0030991354173188893,0.00010710541341537847,accept,0.1552658268146194
45,0.003206240830734268,0.00010677177988367866,accept,0.1545543931234128
46,0.0033130126106179466,0.00010690703785425251,accept,0.14692656223950012
47,0.003419919648472199,0.00010806693225449106,accept,0.1503276086531482
48,0.00352798658072669,0.00010834098453408305,accept,0.16802810061819642
49,0.003636327565260773,0.00010646606357800684,accept,0.1692987491765488
50,0.00374279362883878,0.00010534582938999608,accept,0.1600118248983587
51,0.003848139458228776,0.00010545003048618076,accept,0.14399187350565654
52,0.003953589488714957,0.00010729319942746502,accept,0.1442913243451592
53,0.0040608826881424216,0.00010826440384128843,accept,0.1458637507064062
54,0.00416914709198371,0.00010903073851885403,accept,0.14386708720295302
55,0.0042781778305025645,0.00011018754604628346,accept,0.14067271178636423
56,0.004388365376548848,0.00011172971328874912,accept,0.13823217152206277
57,0.0045000950898375965,0.00011348948632753447,accept,0.13792454930110118
58,0.004613584576165131,0.00011517578880212568,accept,0.13904412382668854
