n,t,dt,action,error
0,0.0,1e-05,accept,2.9293431009711693e-14
1,1e-05,2.5e-05,accept,1.073505916719415e-12
2,3.5000000000000004e-05,6.25e-05,accept,4.1847142354195553e-11
3,9.750000000000001e-05,8.852438715558058e-05,accept,1.6777036243671222e-10
4,0.0001860243871555806,0.00015060663851290695,accept,1.3975068326236444e-09
5,0.0003366310256684875,0.00021799818687569657,accept,6.0776058247071e-09
6,0.0005546292125441841,0.0003185398824161898,accept,2.733358134119814e-08
7,0.000873169094960374,0.00043674176007055867,accept,9.472926290524403e-08
8,0.0013099108550309326,0.0005855684113708521,accept,2.981129417209606e-07
9,0.0018954792664017846,0.0007575533861817214,accept,8.061986398184138e-07
10,0.002653032652583506,0.0009569276843019377,accept,1.9691638245050995e-06
11,0.0036099603368854438,0.0011788937205676592,accept,4.2712620817048865e-06
12,0.004788854057453103,0.0014257178387770606,accept,8.528280192177384e-06
13,0.006214571896230164,0.0016918313253657116,accept,1.5572840249225517e-05
14,0.007906403221595876,0.0019783091840193195,accept,2.6436537873803635e-05
15,0.009884712405615196,0.0022822494554419082,accept,4.190829082112836e-05
16,0.012166961861057105,0.0026034610661810694,accept,6.262340876693014e-05
17,0.014770422927238173,0.0029407340281192526,accept,8.879750257873978e-05
18,0.017711156955357427,0.0032937071218644637,accept,0.00012043573717678623
19,0.02100486407722189,0.003661402850765572,accept,0.00015743155039666052
20,0.024666266927987464,0.00404239278172438,accept,0.00019986368422630717
21,0.028708659709711842,0.004434214716216017,accept,0.00024792291232949816
22,0.03314287442592786,0.004834013376813639,accept,0.0003013843320547264
23,0.0379768878027415,0.005239967427711004,accept,0.0003586505280320869
24,0.0432168552304525,0.005653258976565011,accept,0.0004161841025063313
25,0.04887011420701751,0.006079011671620314,accept,0.00046901669150747124
26,0.05494912587863783,0.006525677949825096,accept,0.000512405318432264
27,0.061474803828462925,0.007003198225224145,accept,0.0005443173758321439
28,0.06847800205368706,0.007519643793367219,accept,0.0005960289814592754
29,0.07599764584705429,0.00801932780710088,accept,0.0005810035721841823
30,0.08401697365415517,0.0086661280492287,accept,0.0006458869177556063
31,0.09268310170338387,0.009197740919872403,accept,0.0006973120797228476
32,0.10188084262325628,0.009762041468505274,accept,0.0007724975128698681
33,0.11164288409176155,0.010290711713810772,accept,0.0008363216940687658
34,0.12193359580557232,0.010839779695557123,accept,0.0009031447715837456
35,0.13277337550112944,0.01138609562629573,accept,0.0009682189747595159
36,0.14415947112742517,0.011935844920974709,accept,0.0010322058029029666
37,0.15609531604839988,0.012487464552628318,accept,0.0010910417444673132
38,0.1685827806010282,0.013047362185126882,accept,0.00115033978665599
39,0.18163014278615508,0.013607121365413392,accept,0.0012118961626941549
40,0.19523726415156847,0.01416251900560482,accept,0.0012693902537445226
41,0.20939978315717328,0.014722211842087841,accept,0.0013158745130869647
42,0.2241219949992611,0.015298696972182097,accept,0.0013654756159122284
43,0.2394206919714432,0.015872516117052163,accept,0.0014228693376565173
44,0.25529320808849537,0.01643355983390661,accept,0.0014828477907883946
45,0.27172676792240197,0.016986150248255928,accept,0.0015363772610858637
46,0.2887129181706579,0.0175431629476615,accept,0.0016059224880668195
47,0.3062560811183194,0.01806966481584047,accept,0.0016888102755763998
48,0.3243257459341599,0.01856273391677795,accept,0.004917343681100323
49,0.34288847985093784,0.01641825457516205,accept,0.0010556615316393023
50,0.3593067344260999,0.020306618066572614,accept,0.0022769301549636096
51,0.37961335249267253,0.019115337611614602,accept,0.0016899660755123522
52,0.39872869010428713,0.020368139989246255,accept,0.0020877738025378363
53,0.4190968300935334,0.020399261603194874,accept,0.0020039941799014473
54,0.43949609169672826,0.021013394306732245,accept,0.002129214957221903
55,0.46050948600346053,0.02136453752202924,accept,0.0021684668713658267
56,0.48187402352548975,0.021802403687671047,accept,0.0022811090824277564
57,0.5036764272131607,0.022128869568747146,accept,0.002356579566840334
58,0.5258052967819079,0.022473651709445038,accept,0.002486952354580848
59,0.548278948491353,0.022723826874624837,accept,0.0023383962185361475
60,0.5710027753659778,0.023314355705641332,accept,0.0024545122435824917
61,0.5943171310716191,0.023599611373207752,accept,0.002484635098730434
62,0.6179167424448269,0.023967796313845498,accept,0.0025498401654579037
63,0.6418845387586724,0.024281543390044603,accept,0.002587576042333803
64,0.666166082148717,0.024613911400076363,accept,0.006868388260680237
65,0.6907799935487934,0.021691043551238166,accept,0.0018212388141868726
66,0.7124710371000316,0.025673613040030567,accept,0.0031690545997927816
67,0.7381446501400621,0.024393869305391055,accept,0.0024292847368146274
68,0.7625385194454531,0.02553135882355158,accept,0.0027929142921859374
69,0.7880698782690048,0.025466003671516982,accept,0.002704570273347912
70,0.8135358819405217,0.025895993897106822,accept,0.002819966245104019
71,0.8394318758376286,0.02608600195469343,accept,0.0027832961428572293
72,0.865517877792322,0.026443077901583352,accept,0.0028167053296644915
73,0.8919609556939054,0.026721954799327208,accept,0.0028247661348571903
74,0.9186829104932326,0.027026424784868688,accept,0.005471712495746445
75,0.9457093352781013,0.024842990518461384,accept,0.0032235737467535674
76,0.9705523257965627,0.02642943326200364,accept,0.002733352463388463
77,0.9969817590585663,0.027241587919993013,accept,0.0029238400424028334
78,1.0242233469785593,0.02732827219215718,accept,0.002880507311696433
79,1.0515516191707166,0.027669689665224453,accept,0.006339627539125217
80,1.079221308835941,0.024948203366858438,accept,0.003502790603319947
81,1.1041695122027995,0.026632129877827697,accept,0.0026612187550404264
82,1.130801642080627,0.027798585130461087,accept,0.0029217226861922452
83,1.1586002272110882,0.027811760805698717,accept,0.0028973886369164713
84,1.186411988016787,0.028133229413921348,accept,0.0033152307506950857
85,1.2145452174307083,0.027883403805248036,accept,0.0029108871764372975
86,1.2424286212359563,0.028563146090766593,accept,0.003187711112073488
87,1.2709917673267228,0.028484870122698746,accept,0.0031375563902787474
88,1.2994766374494215,0.028745094963198065,accept,0.0032486009937740695
89,1.3282217324126195,0.02881375588026993,accept,0.006140152332419374
90,1.3570354882928894,0.026432120307524662,accept,0.0029315121934482247
91,1.383467608600414,0.028857087907277174,accept,0.0035465462437390483
92,1.4123246965076912,0.028357327736793,accept,0.0031421282637949513
93,1.4406820242444842,0.028932596713823967,accept,0.0033965887209423513
94,1.469614620958308,0.028819383176552704,accept,0.0033101726596963606
95,1.4984340041348607,0.02905064876571253,accept,0.003356777943582097
96,1.5274846529005732,0.029145490035012298,accept,0.003356932959676704
97,1.5566301429355855,0.029283402449003466,accept,0.0033880881737002612
98,1.585913545384589,0.029382725048918132,accept,0.003395797439121177
99,1.615296270433507,0.029501272188263344,accept,0.0034325370054536
100,1.6447975426217702,0.029581174270965068,accept,0.003489948473171836
101,1.6743787168927353,0.029623491125675565,accept,0.006908397948185994
102,1.704002208018411,0.026916123175225168,accept,0.0029236705275638326
103,1.730918331193636,0.029763054056731165,accept,0.0037262362076179376
104,1.760681385250367,0.02903058316012642,accept,0.003277503241969017
105,1.7897119684104936,0.029592072556057312,accept,0.0036570754303196463
106,1.8193040409665509,0.02929159229642869,accept,0.0033864968955946238
107,1.8485956332629796,0.0296584315512186,accept,0.0034685543032538903
108,1.878254064814198,0.02968523262223931,accept,0.0034333961991789876
109,1.9079392974364373,0.029830880141413087,accept,0.00505681995793304
110,1.9377701775778504,0.02831032334680518,accept,0.0066618245292699475
111,1.9660805009246556,0.026885674774113816,accept,0.0026259554258142546
112,1.9929661756987693,0.03008094994315897,accept,0.0036905774044804396
113,2.0230471256419285,0.02905213339043212,accept,0.003168953447756462
114,2.0520992590323606,0.029728987632566525,accept,0.01010424095496594
115,2.081828246664927,0.025305401768375972,accept,0.0035172492902728215
116,2.1071336484333028,0.02835154006829825,accept,0.003065415386350287
117,2.135485188501601,0.02900527714333199,accept,0.0030901925658399485
118,2.164490465644933,0.02921463620515404,accept,0.003167612249108399
119,2.193705101850087,0.029344911879257394,accept,0.003305870959041202
120,2.2230500137293445,0.029369949718415923,accept,0.0032360725030469014
121,2.2524199634477604,0.02961867074573117,accept,0.003350853935597761
122,2.2820386341934915,0.029652404739759212,accept,0.0033876084909356496
123,2.3116910389332506,0.029747927730194034,accept,0.01104684341001985
124,2.3414389666634445,0.025171897427168133,accept,0.003036912900051631
125,2.3666108640906125,0.02907992367921378,accept,0.0037559435395444875
126,2.3956907877698264,0.02844489805898857,accept,0.0031038847207306482
127,2.424135685828815,0.029249170892466488,accept,0.0034301118698809477
128,2.4533848567212813,0.029055873221432646,accept,0.003370021263598651
129,2.482440729942714,0.029243177193550775,accept,0.0034287798042800482
130,2.5116839071362644,0.029303583214912263,accept,0.0034383184875841043
131,2.540987490351177,0.029405609690541994,accept,0.0035301702851485706
132,2.570393100041719,0.029403981862353358,accept,0.0036100515417098722
133,2.5997970819040725,0.029388352041308043,accept,0.0035528708087169516
134,2.6291854339453806,0.029510061362506713,accept,0.0037147022420792523
135,2.6586954953078874,0.029392190722599448,accept,0.006298883961185553
136,2.688087686030487,0.027243991853737094,accept,0.004107383871533358
137,2.7153316778842242,0.028399875750677237,accept,0.0036393658449846594
138,2.7437315536349014,0.028805940158339472,accept,0.003602695716574371
139,2.7725374937932408,0.028891410281045252,accept,0.003627626505797626
140,2.801428904074286,0.02891740734590756,accept,0.003823804507121798
141,2.8303463114201937,0.028744041782932453,accept,0.0035632721248697197
142,2.859090353203126,0.029025637385383624,accept,0.0036951142932091442
143,2.8881159905885094,0.028940754840530162,accept,0.0036609998593499075
144,2.9170567454290395,0.029005396729219736,accept,0.007427734056332733
145,2.9460621421582593,0.026210336500462006,accept,0.004131860415454134
146,2.9722724786587214,0.027775467786215535,accept,0.0033466255258331455
147,3.000047946444937,0.028535049417078073,accept,0.0035372184146776225
148,3.028582995862015,0.02844437471989122,accept,0.0034840205753899397
149,3.057027370581906,0.028582102497146242,accept,0.0054820657738298625
150,3.0856094730790526,0.026850706590996636,accept,0.004111710600386659
151,3.112460179670049,0.0275804649385934,accept,0.0032304787677380625
152,3.1400406446086424,0.0284655931279033,accept,0.003538059426122313
153,3.168506237736546,0.028269121027994698,accept,0.00346195276894845
154,3.1967753587645404,0.028432893937844383,accept,0.0036143156853004088
155,3.2252082527023846,0.028354760907745327,accept,0.0035161710941851924
156,3.25356301361013,0.028518623868756417,accept,0.003592885778540086
157,3.2820816374788864,0.028511272943615974,accept,0.0035933134387317227
158,3.3105929104225025,0.0285681003742768,accept,0.010749157099809914
159,3.3391610107967793,0.024420190429898667,accept,0.002945001626655835
