n,t,i,p,u,v
1,0.0,1,-,-,-
2,0.0,2,-,-,-
3,0.0,3,0.7942891660454563,0.06491343086781412,0.04323932164065284
4,0.0125,1,-,-,-
5,0.0125,2,-,-,-
6,0.0125,3,0.4800150572997263,0.059379607018148046,0.034437819582427996
7,0.025,1,-,-,-
8,0.025,2,-,-,-
9,0.025,3,0.4186664617606712,0.042987079568377815,0.025321278164924424
10,0.037500000000000006,1,-,-,-
11,0.037500000000000006,2,-,-,-
12,0.037500000000000006,3,0.34287426947084476,0.0253312500460252,0.014913602850777974
13,0.05,1,-,-,-
14,0.05,2,-,-,-
15,0.05,3,0.3104388750366319,0.02039284397251859,0.01199553956021657
16,0.0625,1,-,-,-
17,0.0625,2,-,-,-
18,0.0625,3,0.28560725411972177,0.017581575319009623,0.01032554470214933
19,0.075,1,-,-,-
20,0.075,2,-,-,-
21,0.075,3,0.26486796708441207,0.014002925996211498,0.00826061309633165
22,0.0875,1,-,-,-
23,0.0875,2,-,-,-
24,0.0875,3,0.2505705603496411,0.012344901519534619,0.007337207224260284
25,0.09999999999999999,1,-,-,-
26,0.09999999999999999,2,-,-,-
27,0.09999999999999999,3,0.23798676620787027,0.010721094290130174,0.006408579787742972
28,0.11249999999999999,1,-,-,-
29,0.11249999999999999,2,-,-,-
30,0.11249999999999999,3,0.2266822535920379,0.009430803651394922,0.005637476533854813
31,0.12499999999999999,1,-,-,-
32,0.12499999999999999,2,-,-,-
33,0.12499999999999999,3,0.2161251169028672,0.008445661567332277,0.005060584223662844
34,0.13749999999999998,1,-,-,-
35,0.13749999999999998,2,-,-,-
36,0.13749999999999998,3,0.20555532210851088,0.007612345992007277,0.004587038804927361
37,0.15,1,-,-,-
38,0.15,2,-,-,-
39,0.15,3,0.19509913151657943,0.00691264213204137,0.004211940800320483
40,0.1625,1,-,-,-
41,0.1625,2,-,-,-
42,0.1625,3,0.18463746202683132,0.006332853455660809,0.003901227105601943
43,0.17500000000000002,1,-,-,-
44,0.17500000000000002,2,-,-,-
45,0.17500000000000002,3,0.174340435614779,0.00577332149744642,0.003621054359269683
46,0.18750000000000003,1,-,-,-
47,0.18750000000000003,2,-,-,-
48,0.18750000000000003,3,0.16448561115059138,0.005316574297308625,0.0034086401982256786
49,0.20000000000000004,1,-,-,-
50,0.20000000000000004,2,-,-,-
51,0.20000000000000004,3,0.1558987338854263,0.004988175312360697,0.0032620025813330372
52,0.21250000000000005,1,-,-,-
53,0.21250000000000005,2,-,-,-
54,0.21250000000000005,3,0.14890553780586532,0.004727606019128599,0.003147181918575359
55,0.22500000000000006,1,-,-,-
56,0.22500000000000006,2,-,-,-
57,0.22500000000000006,3,0.14302675917256616,0.004443589435049122,0.0030417198107983677
58,0.23750000000000007,1,-,-,-
59,0.23750000000000007,2,-,-,-
60,0.23750000000000007,3,0.1371436707558204,0.00412784258774432,0.002906667429645265
61,0.25000000000000006,1,-,-,-
62,0.25000000000000006,2,-,-,-
63,0.25000000000000006,3,0.13036346935799292,0.0038563379306317844,0.002728251001121788
64,0.26250000000000007,1,-,-,-
65,0.26250000000000007,2,-,-,-
66,0.26250000000000007,3,0.12312480910803632,0.0036683543175641885,0.0025577783759206693
67,0.2750000000000001,1,-,-,-
68,0.2750000000000001,2,-,-,-
69,0.2750000000000001,3,0.11601551404711305,0.0035212850008899932,0.0024346900969039647
70,0.2875000000000001,1,-,-,-
71,0.2875000000000001,2,-,-,-
72,0.2875000000000001,3,0.10977778940506716,0.0033425601816713755,0.002300946448973827
73,0.3000000000000001,1,-,-,-
74,0.3000000000000001,2,-,-,-
75,0.3000000000000001,3,0.10482892271091698,0.003119347389620458,0.002143348242564193
76,0.3125000000000001,1,-,-,-
77,0.3125000000000001,2,-,-,-
78,0.3125000000000001,3,0.10123474743182678,0.0028992496697455386,0.002003891057840668
79,0.3250000000000001,1,-,-,-
80,0.3250000000000001,2,-,-,-
81,0.3250000000000001,3,0.09824734852078454,0.0027332765580853186,0.0019062480381787609
82,0.33750000000000013,1,-,-,-
83,0.33750000000000013,2,-,-,-
84,0.33750000000000013,3,0.09508119155728445,0.0026084419722432303,0.0018354129945799833
85,0.35000000000000014,1,-,-,-
86,0.35000000000000014,2,-,-,-
87,0.35000000000000014,3,0.09128366370760453,0.0024981039091140056,0.001743066770138529
88,0.36250000000000016,1,-,-,-
89,0.36250000000000016,2,-,-,-
90,0.36250000000000016,3,0.08718401201141698,0.0023815348146907344,0.0016268137430136649
91,0.37500000000000017,1,-,-,-
92,0.37500000000000017,2,-,-,-
93,0.37500000000000017,3,0.0834077942367532,0.00225377744509513,0.0015227859823411763
94,0.3875000000000002,1,-,-,-
95,0.3875000000000002,2,-,-,-
96,0.3875000000000002,3,0.08035023291909718,0.0021303859584506273,0.0014474788880460506
97,0.4000000000000002,1,-,-,-
98,0.4000000000000002,2,-,-,-
99,0.4000000000000002,3,0.07806235534592394,0.002018741138663828,0.0013895508774334913
100,0.4125000000000002,1,-,-,-
101,0.4125000000000002,2,-,-,-
102,0.4125000000000002,3,0.07616385832369735,0.0019371091107611789,0.001333106175863568
103,0.4250000000000002,1,-,-,-
104,0.4250000000000002,2,-,-,-
105,0.4250000000000002,3,0.07421773207018197,0.001878116554593356,0.0012710083181206675
106,0.4375000000000002,1,-,-,-
107,0.4375000000000002,2,-,-,-
108,0.4375000000000002,3,0.07200540697156073,0.0018149415298411764,0.001211357782697976
109,0.45000000000000023,1,-,-,-
110,0.45000000000000023,2,-,-,-
111,0.45000000000000023,3,0.06977013177331526,0.0017383814506769192,0.0011503964363499398
112,0.46250000000000024,1,-,-,-
113,0.46250000000000024,2,-,-,-
114,0.46250000000000024,3,0.0676515452464931,0.0016498970832374746,0.0010962924137065098
115,0.47500000000000026,1,-,-,-
116,0.47500000000000026,2,-,-,-
117,0.47500000000000026,3,0.06580037208598788,0.0015588871242830317,0.001044900802635698
118,0.48750000000000027,1,-,-,-
119,0.48750000000000027,2,-,-,-
120,0.48750000000000027,3,0.06421875108816578,0.0014772050639075697,0.000989038414445008
121,0.5000000000000002,1,-,-,-
122,0.5000000000000002,2,-,-,-
123,0.5000000000000002,3,0.0627611944761247,0.001402271551740203,0.0009413661900655901
124,0.5125000000000002,1,-,-,-
125,0.5125000000000002,2,-,-,-
126,0.5125000000000002,3,0.061335755871790645,0.001341197974594875,0.0008915309340046588
127,0.5250000000000001,1,-,-,-
128,0.5250000000000001,2,-,-,-
129,0.5250000000000001,3,0.05990788073014428,0.0012927493946295117,0.0008426005216843041
130,0.5375000000000001,1,-,-,-
131,0.5375000000000001,2,-,-,-
132,0.5375000000000001,3,0.058537466157693924,0.0012312542263982935,0.0008004747210879768
133,0.55,1,-,-,-
134,0.55,2,-,-,-
135,0.55,3,0.05728670136180835,0.0011657800541584713,0.0007550012184090827
136,0.5625,1,-,-,-
137,0.5625,2,-,-,-
138,0.5625,3,0.05616223990867504,0.0011036689629244196,0.0007160818480203047
139,0.575,1,-,-,-
140,0.575,2,-,-,-
141,0.575,3,0.055123525933232116,0.0010458320282209365,0.0006831579744588091
142,0.5874999999999999,1,-,-,-
143,0.5874999999999999,2,-,-,-
144,0.5874999999999999,3,0.05406675589787969,0.0009956052290301144,0.0006628828150080951
145,0.5999999999999999,1,-,-,-
146,0.5999999999999999,2,-,-,-
147,0.5999999999999999,3,0.05286097390124652,0.0009539265463155837,0.0006431840969179488
148,0.6124999999999998,1,-,-,-
149,0.6124999999999998,2,-,-,-
150,0.6124999999999998,3,0.05150704002912194,0.0009061803820049867,0.0006129426019112403
151,0.6249999999999998,1,-,-,-
152,0.6249999999999998,2,-,-,-
153,0.6249999999999998,3,0.05002487608338972,0.0008549304787737641,0.000577495706538924
154,0.6374999999999997,1,-,-,-
155,0.6374999999999997,2,-,-,-
156,0.6374999999999997,3,0.048643472506374866,0.0008074661044347351,0.0005389551287210744
157,0.6499999999999997,1,-,-,-
158,0.6499999999999997,2,-,-,-
159,0.6499999999999997,3,0.04738410204757967,0.0007579932602620874,0.0005103348342526999
160,0.6624999999999996,1,-,-,-
161,0.6624999999999996,2,-,-,-
162,0.6624999999999996,3,0.04630620924701126,0.0007241351090630167,0.0004917484613944789
163,0.6749999999999996,1,-,-,-
164,0.6749999999999996,2,-,-,-
165,0.6749999999999996,3,0.045383054514516866,0.0006967495037023575,0.00047390727463394696
166,0.6874999999999996,1,-,-,-
167,0.6874999999999996,2,-,-,-
168,0.6874999999999996,3,0.04452264186182698,0.0006711774310787045,0.0004583728021613358
169,0.6999999999999995,1,-,-,-
170,0.6999999999999995,2,-,-,-
171,0.6999999999999995,3,0.04373437011309333,0.0006494703729290554,0.0004411887028289375
172,0.7124999999999995,1,-,-,-
173,0.7124999999999995,2,-,-,-
174,0.7124999999999995,3,0.042948100288167895,0.000624163725677252,0.00042394978253433054
175,0.7249999999999994,1,-,-,-
176,0.7249999999999994,2,-,-,-
177,0.7249999999999994,3,0.0421689694340399,0.0005946667841643348,0.0004053741571070525
178,0.7374999999999994,1,-,-,-
179,0.7374999999999994,2,-,-,-
180,0.7374999999999994,3,0.041435704270082356,0.0005692780794893391,0.00038978987920981463
181,0.7499999999999993,1,-,-,-
182,0.7499999999999993,2,-,-,-
183,0.7499999999999993,3,0.04073188824605267,0.0005436202883039797,0.00037135942112070215
184,0.7624999999999993,1,-,-,-
185,0.7624999999999993,2,-,-,-
186,0.7624999999999993,3,0.04007835385940049,0.0005242013653080399,0.000362190539850941
187,0.7749999999999992,1,-,-,-
188,0.7749999999999992,2,-,-,-
189,0.7749999999999992,3,0.03941123048544753,0.0005075618082912512,0.0003501380486844471
190,0.7874999999999992,1,-,-,-
191,0.7874999999999992,2,-,-,-
192,0.7874999999999992,3,0.03872155457619802,0.0004882562628385966,0.0003349913788912861
193,0.7999999999999992,1,-,-,-
194,0.7999999999999992,2,-,-,-
195,0.7999999999999992,3,0.03794595955911189,0.0004707073281254981,0.0003165318752822614
196,0.8124999999999991,1,-,-,-
197,0.8124999999999991,2,-,-,-
198,0.8124999999999991,3,0.0372157764285636,0.00045146146762394624,0.000303573274666145
199,0.8249999999999991,1,-,-,-
200,0.8249999999999991,2,-,-,-
201,0.8249999999999991,3,0.036513601248375424,0.0004320863119482396,0.00029158596633784765
202,0.837499999999999,1,-,-,-
203,0.837499999999999,2,-,-,-
204,0.837499999999999,3,0.035835866567275304,0.0004112905963915894,0.00028133309557369537
205,0.849999999999999,1,-,-,-
206,0.849999999999999,2,-,-,-
207,0.849999999999999,3,0.035221257315417455,0.00039652847702738525,0.00027204985588394457
208,0.8624999999999989,1,-,-,-
209,0.8624999999999989,2,-,-,-
210,0.8624999999999989,3,0.03461967578647452,0.00038343745472684936,0.00026513636967126904
211,0.8749999999999989,1,-,-,-
212,0.8749999999999989,2,-,-,-
213,0.8749999999999989,3,0.03406034434887583,0.0003734298719251019,0.000260105030168431
214,0.8874999999999988,1,-,-,-
215,0.8874999999999988,2,-,-,-
216,0.8874999999999988,3,0.03351383034023118,0.00036280974226706207,0.0002531161101263438
217,0.8999999999999988,1,-,-,-
218,0.8999999999999988,2,-,-,-
219,0.8999999999999988,3,0.032905932468915204,0.00035047275335783684,0.00024362327020625323
220,0.9124999999999988,1,-,-,-
221,0.9124999999999988,2,-,-,-
222,0.9124999999999988,3,0.03229993922095271,0.00033889400415578104,0.00023527470846619201
223,0.9249999999999987,1,-,-,-
224,0.9249999999999987,2,-,-,-
225,0.9249999999999987,3,0.031674417106781226,0.00032607822646697814,0.00022719417700530967
226,0.9374999999999987,1,-,-,-
227,0.9374999999999987,2,-,-,-
228,0.9374999999999987,3,0.031056993187557076,0.0003158134915517264,0.0002208037850803061
229,0.9499999999999986,1,-,-,-
230,0.9499999999999986,2,-,-,-
231,0.9499999999999986,3,0.03045607462427139,0.00031028382143037875,0.00021531103385429647
232,0.9624999999999986,1,-,-,-
233,0.9624999999999986,2,-,-,-
234,0.9624999999999986,3,0.02984164774934417,0.00030475950660750154,0.0002071349888187612
235,0.9749999999999985,1,-,-,-
236,0.9749999999999985,2,-,-,-
237,0.9749999999999985,3,0.029250667465138075,0.0002991545727353428,0.00020121463635123341
238,0.9874999999999985,1,-,-,-
239,0.9874999999999985,2,-,-,-
240,0.9874999999999985,3,0.028663459477756007,0.00029191918298899616,0.0001964327664169051
241,0.9999999999999984,1,-,-,-
242,0.9999999999999984,2,-,-,-
243,0.9999999999999984,3,0.02808826231652743,0.0002839669664258639,0.00019085621598890817
244,1.0124999999999984,1,-,-,-
245,1.0124999999999984,2,-,-,-
